lat,lon,time,spatial_ref,SPEEDLML
33.0,-116.875,2015-08-01 00:00:00,0,6.3365574
33.0,-116.875,2015-08-01 01:00:00,0,6.122705
33.0,-116.875,2015-08-01 02:00:00,0,5.4817104
33.0,-116.875,2015-08-01 03:00:00,0,4.5558925
33.0,-116.875,2015-08-01 04:00:00,0,3.7881823
33.0,-116.875,2015-08-01 05:00:00,0,3.427697
33.0,-116.875,2015-08-01 06:00:00,0,3.574182
33.0,-116.875,2015-08-01 07:00:00,0,3.945679
33.0,-116.875,2015-08-01 08:00:00,0,4.285932
33.0,-116.875,2015-08-01 09:00:00,0,4.509233
33.0,-116.875,2015-08-01 10:00:00,0,4.681027
33.0,-116.875,2015-08-01 11:00:00,0,4.876141
33.0,-116.875,2015-08-01 12:00:00,0,4.959496
33.0,-116.875,2015-08-01 13:00:00,0,4.972666
33.0,-116.875,2015-08-01 14:00:00,0,4.5795255
33.0,-116.875,2015-08-01 15:00:00,0,4.132509
33.0,-116.875,2015-08-01 16:00:00,0,4.2152667
33.0,-116.875,2015-08-01 17:00:00,0,4.3131266
33.0,-116.875,2015-08-01 18:00:00,0,4.1553698
33.0,-116.875,2015-08-01 19:00:00,0,3.4587479
33.0,-116.875,2015-08-01 20:00:00,0,3.0630221
33.0,-116.875,2015-08-01 21:00:00,0,3.1884751
33.0,-116.875,2015-08-01 22:00:00,0,3.8970606
33.0,-116.875,2015-08-01 23:00:00,0,4.7278843
33.0,-116.25,2015-08-01 00:00:00,0,6.665651
33.0,-116.25,2015-08-01 01:00:00,0,8.480227
33.0,-116.25,2015-08-01 02:00:00,0,9.258053
33.0,-116.25,2015-08-01 03:00:00,0,9.052541
33.0,-116.25,2015-08-01 04:00:00,0,8.739409
33.0,-116.25,2015-08-01 05:00:00,0,8.005294
33.0,-116.25,2015-08-01 06:00:00,0,7.384221
33.0,-116.25,2015-08-01 07:00:00,0,7.6680846
33.0,-116.25,2015-08-01 08:00:00,0,8.102625
33.0,-116.25,2015-08-01 09:00:00,0,8.595267
33.0,-116.25,2015-08-01 10:00:00,0,8.955037
33.0,-116.25,2015-08-01 11:00:00,0,8.952501
33.0,-116.25,2015-08-01 12:00:00,0,8.738613
33.0,-116.25,2015-08-01 13:00:00,0,8.504635
33.0,-116.25,2015-08-01 14:00:00,0,8.016186
33.0,-116.25,2015-08-01 15:00:00,0,7.1716213
33.0,-116.25,2015-08-01 16:00:00,0,6.733787
33.0,-116.25,2015-08-01 17:00:00,0,5.4817495
33.0,-116.25,2015-08-01 18:00:00,0,3.8537495
33.0,-116.25,2015-08-01 19:00:00,0,3.0573711
33.0,-116.25,2015-08-01 20:00:00,0,2.9542875
33.0,-116.25,2015-08-01 21:00:00,0,2.9222064
33.0,-116.25,2015-08-01 22:00:00,0,2.924096
33.0,-116.25,2015-08-01 23:00:00,0,3.4536846
33.0,-115.625,2015-08-01 00:00:00,0,2.1174197
33.0,-115.625,2015-08-01 01:00:00,0,2.4169044
33.0,-115.625,2015-08-01 02:00:00,0,3.0369744
33.0,-115.625,2015-08-01 03:00:00,0,4.6695952
33.0,-115.625,2015-08-01 04:00:00,0,6.778979
33.0,-115.625,2015-08-01 05:00:00,0,7.28537
33.0,-115.625,2015-08-01 06:00:00,0,6.412446
33.0,-115.625,2015-08-01 07:00:00,0,5.7001147
33.0,-115.625,2015-08-01 08:00:00,0,5.442718
33.0,-115.625,2015-08-01 09:00:00,0,5.5101357
33.0,-115.625,2015-08-01 10:00:00,0,5.9163256
33.0,-115.625,2015-08-01 11:00:00,0,6.117344
33.0,-115.625,2015-08-01 12:00:00,0,6.113991
33.0,-115.625,2015-08-01 13:00:00,0,6.0207734
33.0,-115.625,2015-08-01 14:00:00,0,5.5112205
33.0,-115.625,2015-08-01 15:00:00,0,5.117036
33.0,-115.625,2015-08-01 16:00:00,0,4.5613623
33.0,-115.625,2015-08-01 17:00:00,0,2.8153648
33.0,-115.625,2015-08-01 18:00:00,0,2.1158295
33.0,-115.625,2015-08-01 19:00:00,0,2.0506136
33.0,-115.625,2015-08-01 20:00:00,0,2.0609844
33.0,-115.625,2015-08-01 21:00:00,0,1.9942726
33.0,-115.625,2015-08-01 22:00:00,0,1.8648133
33.0,-115.625,2015-08-01 23:00:00,0,1.7927998
33.0,-115.0,2015-08-01 00:00:00,0,2.5944111
33.0,-115.0,2015-08-01 01:00:00,0,2.7102537
33.0,-115.0,2015-08-01 02:00:00,0,3.2747436
33.0,-115.0,2015-08-01 03:00:00,0,5.605056
33.0,-115.0,2015-08-01 04:00:00,0,7.296663
