,lat,lon,SPEEDLML
0,33.0,-116.875,4.608801
1,33.0,-116.25,3.001569
2,33.0,-115.625,4.0788097
3,33.0,-115.0,4.9939213
4,33.5,-117.5,2.7669346
5,33.5,-116.875,3.2286336
6,33.5,-116.25,3.618757
7,33.5,-115.625,5.1579766
8,33.5,-115.0,5.7970543
9,34.0,-118.125,3.5668304
10,34.0,-117.5,3.4241228
11,34.0,-116.875,2.8364105
12,34.0,-116.25,3.6374357
13,34.0,-115.625,4.4943137
14,34.0,-115.0,5.596884
15,34.5,-120.0,5.7909703
16,34.5,-119.375,4.785518
17,34.5,-118.75,4.569459
18,34.5,-118.125,4.742108
19,34.5,-117.5,3.4601994
20,34.5,-116.875,2.6423795
21,34.5,-116.25,2.823496
22,34.5,-115.625,4.158712
23,34.5,-115.0,6.8236938
24,35.0,-120.625,7.385426
25,35.0,-120.0,5.7102456
26,35.0,-119.375,4.108312
27,35.0,-118.75,2.5875027
28,35.0,-118.125,3.1477907
29,35.0,-117.5,2.93074
30,35.0,-116.875,2.440915
31,35.0,-116.25,1.9814891
32,35.0,-115.625,4.184761
33,35.0,-115.0,7.1365037
34,35.5,-120.625,6.1372514
35,35.5,-120.0,4.6973896
36,35.5,-119.375,3.8441727
37,35.5,-118.75,3.5383425
38,35.5,-118.125,2.5392692
39,35.5,-117.5,2.3038635
40,35.5,-116.875,2.1618154
41,35.5,-116.25,2.2502038
42,35.5,-115.625,3.4063098
43,36.0,-121.25,4.928183
44,36.0,-120.625,5.22398
45,36.0,-120.0,5.6385093
46,36.0,-119.375,3.5792935
47,36.0,-118.75,3.7000484
48,36.0,-118.125,2.5454552
49,36.0,-117.5,2.331425
50,36.0,-116.875,1.8093238
51,36.0,-116.25,2.0368574
52,36.5,-121.875,4.0553117
53,36.5,-121.25,3.5481303
54,36.5,-120.625,5.253321
55,36.5,-120.0,6.198927
56,36.5,-119.375,3.321998
57,36.5,-118.75,2.6267946
58,36.5,-118.125,2.2464995
59,36.5,-117.5,2.4626493
60,36.5,-116.875,2.0176811
61,37.0,-121.875,3.353473
62,37.0,-121.25,3.5281065
63,37.0,-120.625,4.837439
64,37.0,-120.0,3.6894686
65,37.0,-119.375,3.2327874
66,37.0,-118.75,2.100765
67,37.0,-118.125,2.4838107
68,37.0,-117.5,2.3393989
69,37.5,-121.875,2.4110355
70,37.5,-121.25,4.2359624
71,37.5,-120.625,4.580556
72,37.5,-120.0,3.082072
73,37.5,-119.375,2.1666038
74,37.5,-118.75,3.390807
75,37.5,-118.125,2.5773304
76,38.0,-122.5,2.9628212
77,38.0,-121.875,1.9854922
78,38.0,-121.25,3.4609292
79,38.0,-120.625,3.4302368
80,38.0,-120.0,2.932851
81,38.0,-119.375,3.033185
82,38.0,-118.75,5.033151
83,38.5,-123.125,4.3819675
84,38.5,-122.5,2.8163264
85,38.5,-121.875,2.6686583
86,38.5,-121.25,3.0035505
87,38.5,-120.625,2.7075138
88,38.5,-120.0,3.8117602
89,38.5,-119.375,4.260277
90,39.0,-123.125,3.838581
91,39.0,-122.5,2.5700731
92,39.0,-121.875,2.76181
93,39.0,-121.25,2.229105
94,39.0,-120.625,2.8867273
95,39.5,-123.75,2.4002588
96,39.5,-123.125,3.1974232
97,39.5,-122.5,3.1244462
98,39.5,-121.875,2.0098302
99,39.5,-121.25,2.3966324
100,39.5,-120.625,2.983717
101,40.0,-123.75,1.6578301
102,40.0,-123.125,2.8410609
103,40.0,-122.5,4.396782
104,40.0,-121.875,2.8918865
105,40.0,-121.25,2.2844257
106,40.0,-120.625,2.855236
107,40.0,-120.0,2.7602232
108,40.5,-124.375,2.0448484
109,40.5,-123.75,1.4790945
110,40.5,-123.125,2.6244233
111,40.5,-122.5,2.0871315
112,40.5,-121.875,3.3328152
113,40.5,-121.25,2.6276245
114,40.5,-120.625,2.3980732
115,40.5,-120.0,1.952885
116,41.0,-123.75,1.94215
117,41.0,-123.125,2.023892
118,41.0,-122.5,2.2933004
119,41.0,-121.875,2.2400804
120,41.0,-121.25,3.004076
121,41.0,-120.625,2.5524552
122,41.0,-120.0,2.7294595
123,41.5,-123.75,2.5941257
124,41.5,-123.125,2.76513
125,41.5,-122.5,2.3819294
126,41.5,-121.875,2.1761482
127,41.5,-121.25,2.3136482
128,41.5,-120.625,3.025794
129,41.5,-120.0,3.408521
130,42.0,-123.125,3.281842
131,42.0,-122.5,2.3239014
132,42.0,-121.875,3.7545903
