Unnamed: 0,lat,lon,AvgSurfT_tavg
0,33.0,-116.875,16.334130000000016
1,33.0,-116.25,20.112900000000025
2,33.0,-115.625,25.360280000000046
3,33.0,-115.0,24.894280000000037
4,33.5,-117.5,16.01147000000003
5,33.5,-116.875,16.18267000000003
6,33.5,-116.25,22.68347
7,33.5,-115.625,24.425040000000024
8,33.5,-115.0,25.335320000000024
9,34.0,-118.125,15.813780000000008
10,34.0,-117.5,17.33035000000001
11,34.0,-116.875,17.551900000000046
12,34.0,-116.25,20.480520000000013
13,34.0,-115.625,24.335170000000005
14,34.0,-115.0,25.877440000000036
15,34.5,-120.0,14.564780000000042
16,34.5,-119.375,16.240750000000048
17,34.5,-118.75,17.659080000000017
18,34.5,-118.125,17.578300000000013
19,34.5,-117.5,17.682920000000024
20,34.5,-116.875,18.117150000000038
21,34.5,-116.25,22.161860000000047
22,34.5,-115.625,25.286370000000034
23,34.5,-115.0,24.877830000000017
24,35.0,-120.625,13.238760000000013
25,35.0,-120.0,17.073020000000042
26,35.0,-119.375,19.692440000000033
27,35.0,-118.75,19.301199999999994
28,35.0,-118.125,19.32220000000001
29,35.0,-117.5,20.228570000000047
30,35.0,-116.875,20.827800000000025
31,35.0,-116.25,23.86913000000004
32,35.0,-115.625,21.40853000000004
33,35.0,-115.0,22.26663000000002
34,35.5,-120.625,13.943380000000047
35,35.5,-120.0,18.54824000000002
36,35.5,-119.375,22.519280000000037
37,35.5,-118.75,20.320670000000007
38,35.5,-118.125,18.47756000000004
39,35.5,-117.5,21.636870000000044
40,35.5,-116.875,21.901850000000024
41,35.5,-116.25,23.87957
42,35.5,-115.625,20.71523000000002
43,36.0,-121.25,14.754400000000032
44,36.0,-120.625,18.574850000000026
45,36.0,-120.0,21.503530000000012
46,36.0,-119.375,22.536699999999996
47,36.0,-118.75,19.030730000000005
48,36.0,-118.125,14.144800000000032
49,36.0,-117.5,19.355999999999995
50,36.0,-116.875,22.459220000000016
51,36.0,-116.25,22.97646000000003
52,36.5,-121.875,12.821950000000015
53,36.5,-121.25,16.802670000000035
54,36.5,-120.625,20.16357000000005
55,36.5,-120.0,22.50920000000002
56,36.5,-119.375,23.68252000000001
57,36.5,-118.75,14.26740000000001
58,36.5,-118.125,11.178060000000016
59,36.5,-117.5,19.504400000000032
60,36.5,-116.875,21.582820000000027
61,37.0,-121.875,14.232079999999996
62,37.0,-121.25,17.432950000000005
63,37.0,-120.625,20.56310000000002
64,37.0,-120.0,22.49227000000002
65,37.0,-119.375,18.846640000000036
66,37.0,-118.75,8.451870000000042
67,37.0,-118.125,11.820730000000026
68,37.0,-117.5,16.99105000000003
69,37.5,-121.875,14.572100000000034
70,37.5,-121.25,18.150630000000035
71,37.5,-120.625,21.166800000000023
72,37.5,-120.0,19.044430000000034
73,37.5,-119.375,9.98004000000003
74,37.5,-118.75,7.689260000000047
75,37.5,-118.125,11.671930000000032
76,38.0,-122.5,14.431120000000021
77,38.0,-121.875,15.649260000000027
78,38.0,-121.25,18.81872000000004
79,38.0,-120.625,19.035330000000044
80,38.0,-120.0,13.414420000000007
81,38.0,-119.375,7.324460000000045
82,38.0,-118.75,9.177180000000021
83,38.5,-123.125,14.831230000000005
84,38.5,-122.5,17.734550000000013
85,38.5,-121.875,19.23156
86,38.5,-121.25,19.691280000000006
87,38.5,-120.625,16.65954000000005
88,38.5,-120.0,10.270620000000008
89,38.5,-119.375,9.051900000000046
90,39.0,-123.125,18.909100000000024
91,39.0,-122.5,19.724500000000035
92,39.0,-121.875,21.801260000000013
93,39.0,-121.25,20.525000000000034
94,39.0,-120.625,14.79785000000004
95,39.5,-123.75,15.397450000000049
96,39.5,-123.125,18.082400000000007
97,39.5,-122.5,20.349480000000028
98,39.5,-121.875,22.21070000000003
99,39.5,-121.25,17.50042000000002
100,39.5,-120.625,11.94903000000005
101,40.0,-123.75,17.21404000000001
102,40.0,-123.125,16.88345000000004
103,40.0,-122.5,19.945150000000012
104,40.0,-121.875,20.31698
105,40.0,-121.25,14.028740000000028
106,40.0,-120.625,11.840450000000033
107,40.0,-120.0,12.467370000000017
108,40.5,-124.375,14.299830000000043
109,40.5,-123.75,18.332899999999995
110,40.5,-123.125,16.68646000000001
111,40.5,-122.5,19.09200000000004
112,40.5,-121.875,16.304200000000037
113,40.5,-121.25,11.415999999999997
114,40.5,-120.625,11.922780000000046
115,40.5,-120.0,13.023070000000018
116,41.0,-123.75,17.928600000000017
117,41.0,-123.125,15.103420000000028
118,41.0,-122.5,15.133230000000026
119,41.0,-121.875,14.732420000000047
120,41.0,-121.25,13.85504000000003
121,41.0,-120.625,11.267500000000041
122,41.0,-120.0,10.765340000000037
123,41.5,-123.75,17.79113000000001
124,41.5,-123.125,14.631520000000023
125,41.5,-122.5,13.435100000000034
126,41.5,-121.875,11.836700000000008
127,41.5,-121.25,12.924500000000023
128,41.5,-120.625,12.20700000000005
129,41.5,-120.0,10.633700000000033
130,42.0,-123.125,14.405500000000018
131,42.0,-122.5,13.329499999999996
132,42.0,-121.875,12.62545
