Unnamed: 0,lat,lon,AvgSurfT_tavg
0,33.0,-116.875,-262.91227
1,33.0,-116.25,-262.1467999999999
2,33.0,-115.625,-258.81955999999997
3,33.0,-115.0,-260.60112
4,33.5,-117.5,-259.51059999999995
5,33.5,-116.875,-264.04672999999997
6,33.5,-116.25,-261.27946
7,33.5,-115.625,-260.71842999999996
8,33.5,-115.0,-260.37985999999995
9,34.0,-118.125,-262.35569999999996
10,34.0,-117.5,-262.6822599999999
11,34.0,-116.875,-264.86999999999995
12,34.0,-116.25,-264.67945999999995
13,34.0,-115.625,-262.0628
14,34.0,-115.0,-260.90809999999993
15,34.5,-120.0,-261.88309999999996
16,34.5,-119.375,-265.83951999999994
17,34.5,-118.75,-266.49289999999996
18,34.5,-118.125,-266.43569999999994
19,34.5,-117.5,-266.61313999999993
20,34.5,-116.875,-266.80139999999994
21,34.5,-116.25,-264.34714999999994
22,34.5,-115.625,-262.12613999999996
23,34.5,-115.0,-262.52269999999993
24,35.0,-120.625,-261.49143999999995
25,35.0,-120.0,-265.54355999999996
26,35.0,-119.375,-267.51755999999995
27,35.0,-118.75,-268.6657799999999
28,35.0,-118.125,-267.81746
29,35.0,-117.5,-265.14725999999996
30,35.0,-116.875,-264.45865999999995
31,35.0,-116.25,-262.97702999999996
32,35.0,-115.625,-266.21515999999997
33,35.0,-115.0,-264.85785999999996
34,35.5,-120.625,-263.17844999999994
35,35.5,-120.0,-264.28275999999994
36,35.5,-119.375,-263.22579999999994
37,35.5,-118.75,-267.38557
38,35.5,-118.125,-268.56089999999995
39,35.5,-117.5,-264.21683999999993
40,35.5,-116.875,-264.20338
41,35.5,-116.25,-263.72394999999995
42,35.5,-115.625,-266.9324
43,36.0,-121.25,-264.09387999999996
44,36.0,-120.625,-264.30344999999994
45,36.0,-120.0,-263.56177999999994
46,36.0,-119.375,-263.22923
47,36.0,-118.75,-268.94373999999993
48,36.0,-118.125,-271.80353999999994
49,36.0,-117.5,-267.04269999999997
50,36.0,-116.875,-264.42325999999997
51,36.0,-116.25,-264.74103999999994
52,36.5,-121.875,-261.63571999999994
53,36.5,-121.25,-265.19617999999997
54,36.5,-120.625,-264.87552999999997
55,36.5,-120.0,-263.84549999999996
56,36.5,-119.375,-264.05942999999996
57,36.5,-118.75,-271.50296999999995
58,36.5,-118.125,-274.37064999999996
59,36.5,-117.5,-266.95822999999996
60,36.5,-116.875,-265.68213999999995
61,37.0,-121.875,-263.1029
62,37.0,-121.25,-264.51669999999996
63,37.0,-120.625,-264.10589999999996
64,37.0,-120.0,-264.50467999999995
65,37.0,-119.375,-267.62139999999994
66,37.0,-118.75,-276.64655999999997
67,37.0,-118.125,-273.97183999999993
68,37.0,-117.5,-270.03059999999994
69,37.5,-121.875,-263.6176
70,37.5,-121.25,-265.39093999999994
71,37.5,-120.625,-264.87474
72,37.5,-120.0,-266.18168
73,37.5,-119.375,-274.37474
74,37.5,-118.75,-278.21099999999996
75,37.5,-118.125,-274.57822999999996
76,38.0,-122.5,-261.6903
77,38.0,-121.875,-264.14923999999996
78,38.0,-121.25,-264.57059999999996
79,38.0,-120.625,-265.80963999999994
80,38.0,-120.0,-270.74287
81,38.0,-119.375,-278.18619999999993
82,38.0,-118.75,-276.74094999999994
83,38.5,-123.125,-263.07289999999995
84,38.5,-122.5,-263.37629999999996
85,38.5,-121.875,-264.29389999999995
86,38.5,-121.25,-263.95871999999997
87,38.5,-120.625,-267.5651
88,38.5,-120.0,-273.97029999999995
89,38.5,-119.375,-276.43442999999996
90,39.0,-123.125,-265.75742999999994
91,39.0,-122.5,-264.4883
92,39.0,-121.875,-264.4386999999999
93,39.0,-121.25,-265.07767999999993
94,39.0,-120.625,-270.11659999999995
95,39.5,-123.75,-264.67954999999995
96,39.5,-123.125,-267.62534999999997
97,39.5,-122.5,-264.65006999999997
98,39.5,-121.875,-264.55792999999994
99,39.5,-121.25,-267.98109999999997
100,39.5,-120.625,-273.16873999999996
101,40.0,-123.75,-267.09056
102,40.0,-123.125,-269.19721999999996
103,40.0,-122.5,-265.75379999999996
104,40.0,-121.875,-266.66321999999997
105,40.0,-121.25,-272.08182999999997
106,40.0,-120.625,-274.3957
107,40.0,-120.0,-274.50377
108,40.5,-124.375,-264.30427
109,40.5,-123.75,-269.34079999999994
110,40.5,-123.125,-270.0533
111,40.5,-122.5,-267.02359999999993
112,40.5,-121.875,-269.83299999999997
113,40.5,-121.25,-274.33052
114,40.5,-120.625,-275.49665999999996
115,40.5,-120.0,-274.62604999999996
116,41.0,-123.75,-268.30231999999995
117,41.0,-123.125,-271.86295999999993
118,41.0,-122.5,-271.67499999999995
119,41.0,-121.875,-272.74362999999994
120,41.0,-121.25,-272.92949999999996
121,41.0,-120.625,-276.19599999999997
122,41.0,-120.0,-277.21464
123,41.5,-123.75,-269.59973999999994
124,41.5,-123.125,-272.71317999999997
125,41.5,-122.5,-273.55869999999993
126,41.5,-121.875,-275.40662999999995
127,41.5,-121.25,-275.59271999999993
128,41.5,-120.625,-275.80339999999995
129,41.5,-120.0,-277.02887999999996
130,42.0,-123.125,-273.08269999999993
131,42.0,-122.5,-274.11057999999997
132,42.0,-121.875,-275.17247
