Unnamed: 0,lat,lon,AvgSurfT_tavg
0,33.0,-116.875,16.050620000000038
1,33.0,-116.25,16.142359999999996
2,33.0,-115.625,18.31695000000002
3,33.0,-115.0,15.922660000000008
4,33.5,-117.5,17.12026000000003
5,33.5,-116.875,15.035400000000038
6,33.5,-116.25,16.82000000000005
7,33.5,-115.625,16.22890000000001
8,33.5,-115.0,15.27496000000002
9,34.0,-118.125,16.857100000000003
10,34.0,-117.5,16.171040000000005
11,34.0,-116.875,14.102660000000014
12,34.0,-116.25,13.579600000000028
13,34.0,-115.625,15.049620000000004
14,34.0,-115.0,14.971429999999998
15,34.5,-120.0,15.819000000000017
16,34.5,-119.375,14.267629999999995
17,34.5,-118.75,14.07928000000004
18,34.5,-118.125,14.368070000000046
19,34.5,-117.5,12.591670000000022
20,34.5,-116.875,11.296140000000037
21,34.5,-116.25,13.065400000000013
22,34.5,-115.625,15.479030000000025
23,34.5,-115.0,13.744259999999995
24,35.0,-120.625,13.871700000000033
25,35.0,-120.0,12.216499999999996
26,35.0,-119.375,9.832360000000053
27,35.0,-118.75,11.530570000000012
28,35.0,-118.125,13.297000000000024
29,35.0,-117.5,13.426020000000053
30,35.0,-116.875,13.052030000000002
31,35.0,-116.25,14.103200000000015
32,35.0,-115.625,12.14083000000005
33,35.0,-115.0,11.470640000000005
34,35.5,-120.625,12.402980000000014
35,35.5,-120.0,10.6336
36,35.5,-119.375,10.555050000000051
37,35.5,-118.75,12.072440000000029
38,35.5,-118.125,12.533749999999998
39,35.5,-117.5,13.98257000000001
40,35.5,-116.875,12.84110000000004
41,35.5,-116.25,13.751520000000028
42,35.5,-115.625,11.586720000000014
43,36.0,-121.25,14.223870000000034
44,36.0,-120.625,12.53964000000002
45,36.0,-120.0,11.063530000000014
46,36.0,-119.375,10.756220000000042
47,36.0,-118.75,12.94326000000001
48,36.0,-118.125,9.254700000000014
49,36.0,-117.5,12.230340000000012
50,36.0,-116.875,13.433070000000043
51,36.0,-116.25,13.483820000000035
52,36.5,-121.875,14.19500000000005
53,36.5,-121.25,13.002679999999998
54,36.5,-120.625,11.45025000000004
55,36.5,-120.0,10.954980000000036
56,36.5,-119.375,13.09450000000004
57,36.5,-118.75,10.80612000000002
58,36.5,-118.125,6.851800000000026
59,36.5,-117.5,12.504999999999995
60,36.5,-116.875,13.160360000000026
61,37.0,-121.875,13.268760000000045
62,37.0,-121.25,12.729640000000018
63,37.0,-120.625,12.043480000000043
64,37.0,-120.0,12.58856000000003
65,37.0,-119.375,12.974800000000016
66,37.0,-118.75,4.209280000000035
67,37.0,-118.125,7.20350000000002
68,37.0,-117.5,10.372830000000022
69,37.5,-121.875,12.040220000000032
70,37.5,-121.25,11.802360000000022
71,37.5,-120.625,12.69222000000002
72,37.5,-120.0,13.669550000000015
73,37.5,-119.375,6.378900000000044
74,37.5,-118.75,2.409750000000031
75,37.5,-118.125,6.694479999999999
76,38.0,-122.5,12.934750000000008
77,38.0,-121.875,12.166620000000025
78,38.0,-121.25,12.287800000000004
79,38.0,-120.625,13.316740000000038
80,38.0,-120.0,10.360929999999996
81,38.0,-119.375,2.585050000000024
82,38.0,-118.75,4.687220000000025
83,38.5,-123.125,12.705500000000027
84,38.5,-122.5,13.063600000000008
85,38.5,-121.875,12.892449999999997
86,38.5,-121.25,13.773860000000012
87,38.5,-120.625,12.801020000000053
88,38.5,-120.0,7.020440000000008
89,38.5,-119.375,4.667439999999999
90,39.0,-123.125,12.298940000000016
91,39.0,-122.5,12.626900000000036
92,39.0,-121.875,13.099540000000047
93,39.0,-121.25,14.221770000000047
94,39.0,-120.625,10.60110000000003
95,39.5,-123.75,12.073180000000036
96,39.5,-123.125,10.774
97,39.5,-122.5,12.698570000000018
98,39.5,-121.875,14.037070000000028
99,39.5,-121.25,12.327570000000035
100,39.5,-120.625,6.902900000000045
101,40.0,-123.75,10.754020000000024
102,40.0,-123.125,8.612420000000043
103,40.0,-122.5,12.39996000000002
104,40.0,-121.875,12.691670000000045
105,40.0,-121.25,6.923150000000021
106,40.0,-120.625,4.552000000000021
107,40.0,-120.0,4.330960000000005
108,40.5,-124.375,11.70562000000001
109,40.5,-123.75,9.408380000000022
110,40.5,-123.125,8.119070000000022
111,40.5,-122.5,11.730000000000018
112,40.5,-121.875,9.98028000000005
113,40.5,-121.25,4.0665200000000254
114,40.5,-120.625,2.4879000000000246
115,40.5,-120.0,2.5218399999999974
116,41.0,-123.75,9.623000000000047
117,41.0,-123.125,6.749320000000012
118,41.0,-122.5,7.267420000000015
119,41.0,-121.875,6.451530000000048
120,41.0,-121.25,5.644220000000018
121,41.0,-120.625,2.722040000000049
122,41.0,-120.0,1.821529999999996
123,41.5,-123.75,8.24395000000004
124,41.5,-123.125,5.341760000000022
125,41.5,-122.5,4.747299999999996
126,41.5,-121.875,2.798460000000034
127,41.5,-121.25,2.7124600000000214
128,41.5,-120.625,2.942700000000002
129,41.5,-120.0,2.234430000000032
130,42.0,-123.125,5.275930000000017
131,42.0,-122.5,4.071529999999996
132,42.0,-121.875,2.583860000000016
