index,spatial_ref,AvgSurfT_tavg,time,lat,lon
142,0,,2015-08-23,33.375,-118.625
143,0,,2015-08-23,33.375,-118.375
144,0,,2015-08-23,33.375,-118.125
145,0,,2015-08-23,33.375,-117.875
146,0,,2015-08-23,33.375,-117.625
147,0,23.873400000000004,2015-08-23,33.375,-117.375
148,0,25.72967,2015-08-23,33.375,-117.125
149,0,23.676570000000027,2015-08-23,33.375,-116.875
150,0,25.83880000000005,2015-08-23,33.375,-116.625
151,0,31.405730000000005,2015-08-23,33.375,-116.375
152,0,34.50662,2015-08-23,33.375,-116.125
153,0,,2015-08-23,33.375,-115.875
154,0,38.73806000000002,2015-08-23,33.375,-115.625
155,0,37.32960000000003,2015-08-23,33.375,-115.375
156,0,37.191520000000025,2015-08-23,33.375,-115.125
157,0,37.69330000000002,2015-08-23,33.375,-114.875
158,0,,2015-08-23,33.375,-114.625
159,0,,2015-08-23,33.375,-114.375
160,0,,2015-08-23,33.625,-124.125
161,0,,2015-08-23,33.625,-123.875
162,0,,2015-08-23,33.625,-123.625
163,0,,2015-08-23,33.625,-123.375
164,0,,2015-08-23,33.625,-123.125
165,0,,2015-08-23,33.625,-122.875
166,0,,2015-08-23,33.625,-122.625
167,0,,2015-08-23,33.625,-122.375
168,0,,2015-08-23,33.625,-122.125
169,0,,2015-08-23,33.625,-121.875
170,0,,2015-08-23,33.625,-121.625
171,0,,2015-08-23,33.625,-121.375
172,0,,2015-08-23,33.625,-121.125
173,0,,2015-08-23,33.625,-120.875
174,0,,2015-08-23,33.625,-120.625
175,0,,2015-08-23,33.625,-120.375
176,0,,2015-08-23,33.625,-120.125
177,0,,2015-08-23,33.625,-119.875
178,0,,2015-08-23,33.625,-119.625
179,0,,2015-08-23,33.625,-119.375
180,0,,2015-08-23,33.625,-119.125
181,0,,2015-08-23,33.625,-118.875
182,0,,2015-08-23,33.625,-118.625
183,0,,2015-08-23,33.625,-118.375
184,0,,2015-08-23,33.625,-118.125
185,0,22.820600000000013,2015-08-23,33.625,-117.875
186,0,23.19204000000002,2015-08-23,33.625,-117.625
187,0,23.75967000000003,2015-08-23,33.625,-117.375
188,0,26.823570000000018,2015-08-23,33.625,-117.125
189,0,26.18610000000001,2015-08-23,33.625,-116.875
190,0,25.851980000000026,2015-08-23,33.625,-116.625
191,0,31.643880000000024,2015-08-23,33.625,-116.375
192,0,36.19854000000004,2015-08-23,33.625,-116.125
193,0,34.763360000000034,2015-08-23,33.625,-115.875
194,0,35.80865,2015-08-23,33.625,-115.625
195,0,37.20025000000004,2015-08-23,33.625,-115.375
196,0,38.874600000000044,2015-08-23,33.625,-115.125
197,0,38.080070000000035,2015-08-23,33.625,-114.875
198,0,37.882930000000044,2015-08-23,33.625,-114.625
199,0,,2015-08-23,33.625,-114.375
200,0,,2015-08-23,33.875,-124.125
201,0,,2015-08-23,33.875,-123.875
202,0,,2015-08-23,33.875,-123.625
203,0,,2015-08-23,33.875,-123.375
204,0,,2015-08-23,33.875,-123.125
205,0,,2015-08-23,33.875,-122.875
206,0,,2015-08-23,33.875,-122.625
207,0,,2015-08-23,33.875,-122.375
208,0,,2015-08-23,33.875,-122.125
209,0,,2015-08-23,33.875,-121.875
210,0,,2015-08-23,33.875,-121.625
211,0,,2015-08-23,33.875,-121.375
212,0,,2015-08-23,33.875,-121.125
213,0,,2015-08-23,33.875,-120.875
214,0,,2015-08-23,33.875,-120.625
215,0,,2015-08-23,33.875,-120.375
216,0,,2015-08-23,33.875,-120.125
217,0,,2015-08-23,33.875,-119.875
218,0,,2015-08-23,33.875,-119.625
219,0,,2015-08-23,33.875,-119.375
220,0,,2015-08-23,33.875,-119.125
221,0,,2015-08-23,33.875,-118.875
222,0,,2015-08-23,33.875,-118.625
223,0,23.986440000000016,2015-08-23,33.875,-118.375
224,0,25.143100000000004,2015-08-23,33.875,-118.125
225,0,25.045370000000048,2015-08-23,33.875,-117.875
226,0,25.46627000000001,2015-08-23,33.875,-117.625
227,0,26.71386000000001,2015-08-23,33.875,-117.375
228,0,27.67407000000003,2015-08-23,33.875,-117.125
229,0,27.232230000000015,2015-08-23,33.875,-116.875
230,0,29.63592,2015-08-23,33.875,-116.625
231,0,33.94454000000002,2015-08-23,33.875,-116.375
232,0,31.224400000000003,2015-08-23,33.875,-116.125
233,0,33.11280000000005,2015-08-23,33.875,-115.875
234,0,36.274680000000046,2015-08-23,33.875,-115.625
235,0,38.66250000000002,2015-08-23,33.875,-115.375
236,0,38.351500000000044,2015-08-23,33.875,-115.125
237,0,37.51640000000003,2015-08-23,33.875,-114.875
238,0,37.61672000000004,2015-08-23,33.875,-114.625
239,0,,2015-08-23,33.875,-114.375
240,0,,2015-08-23,34.125,-124.125
241,0,,2015-08-23,34.125,-123.875
242,0,,2015-08-23,34.125,-123.625
243,0,,2015-08-23,34.125,-123.375
244,0,,2015-08-23,34.125,-123.125
245,0,,2015-08-23,34.125,-122.875
246,0,,2015-08-23,34.125,-122.625
247,0,,2015-08-23,34.125,-122.375
248,0,,2015-08-23,34.125,-122.125
249,0,,2015-08-23,34.125,-121.875
250,0,,2015-08-23,34.125,-121.625
251,0,,2015-08-23,34.125,-121.375
252,0,,2015-08-23,34.125,-121.125
253,0,,2015-08-23,34.125,-120.875
254,0,,2015-08-23,34.125,-120.625
255,0,,2015-08-23,34.125,-120.375
256,0,,2015-08-23,34.125,-120.125
257,0,,2015-08-23,34.125,-119.875
258,0,,2015-08-23,34.125,-119.625
259,0,,2015-08-23,34.125,-119.375
260,0,20.34835000000004,2015-08-23,34.125,-119.125
261,0,17.891440000000046,2015-08-23,34.125,-118.875
262,0,22.211180000000013,2015-08-23,34.125,-118.625
263,0,24.47433000000001,2015-08-23,34.125,-118.375
264,0,25.090419999999995,2015-08-23,34.125,-118.125
265,0,26.47112000000004,2015-08-23,34.125,-117.875
266,0,25.601830000000007,2015-08-23,34.125,-117.625
267,0,27.82620000000003,2015-08-23,34.125,-117.375
268,0,23.11483000000004,2015-08-23,34.125,-117.125
269,0,17.591760000000022,2015-08-23,34.125,-116.875
270,0,26.609980000000007,2015-08-23,34.125,-116.625
271,0,30.53152,2015-08-23,34.125,-116.375
272,0,32.180750000000046,2015-08-23,34.125,-116.125
273,0,35.29623000000004,2015-08-23,34.125,-115.875
274,0,36.58453000000003,2015-08-23,34.125,-115.625
275,0,37.33260000000001,2015-08-23,34.125,-115.375
276,0,37.65820000000002,2015-08-23,34.125,-115.125
277,0,37.080100000000016,2015-08-23,34.125,-114.875
278,0,37.26373000000001,2015-08-23,34.125,-114.625
279,0,38.77386000000001,2015-08-23,34.125,-114.375
280,0,,2015-08-23,34.375,-124.125
281,0,,2015-08-23,34.375,-123.875
282,0,,2015-08-23,34.375,-123.625
283,0,,2015-08-23,34.375,-123.375
284,0,,2015-08-23,34.375,-123.125
285,0,,2015-08-23,34.375,-122.875
286,0,,2015-08-23,34.375,-122.625
287,0,,2015-08-23,34.375,-122.375
288,0,,2015-08-23,34.375,-122.125
289,0,,2015-08-23,34.375,-121.875
290,0,,2015-08-23,34.375,-121.625
291,0,,2015-08-23,34.375,-121.375
292,0,,2015-08-23,34.375,-121.125
293,0,,2015-08-23,34.375,-120.875
294,0,,2015-08-23,34.375,-120.625
295,0,,2015-08-23,34.375,-120.375
296,0,,2015-08-23,34.375,-120.125
297,0,,2015-08-23,34.375,-119.875
298,0,,2015-08-23,34.375,-119.625
299,0,19.17446000000001,2015-08-23,34.375,-119.375
300,0,19.977300000000014,2015-08-23,34.375,-119.125
301,0,21.52126000000004,2015-08-23,34.375,-118.875
302,0,21.765950000000032,2015-08-23,34.375,-118.625
303,0,21.195600000000013,2015-08-23,34.375,-118.375
304,0,19.371700000000033,2015-08-23,34.375,-118.125
305,0,19.651730000000043,2015-08-23,34.375,-117.875
306,0,20.31164000000001,2015-08-23,34.375,-117.625
307,0,26.725180000000023,2015-08-23,34.375,-117.375
308,0,26.05773000000005,2015-08-23,34.375,-117.125
309,0,26.36053000000004,2015-08-23,34.375,-116.875
310,0,30.390900000000045,2015-08-23,34.375,-116.625
311,0,32.27938,2015-08-23,34.375,-116.375
312,0,33.54946000000001,2015-08-23,34.375,-116.125
313,0,35.69262000000003,2015-08-23,34.375,-115.875
314,0,37.75720000000001,2015-08-23,34.375,-115.625
315,0,38.306820000000016,2015-08-23,34.375,-115.375
316,0,37.00576000000001,2015-08-23,34.375,-115.125
317,0,36.426300000000026,2015-08-23,34.375,-114.875
318,0,37.018640000000005,2015-08-23,34.375,-114.625
319,0,37.797330000000045,2015-08-23,34.375,-114.375
320,0,,2015-08-23,34.625,-124.125
321,0,,2015-08-23,34.625,-123.875
322,0,,2015-08-23,34.625,-123.625
323,0,,2015-08-23,34.625,-123.375
324,0,,2015-08-23,34.625,-123.125
325,0,,2015-08-23,34.625,-122.875
326,0,,2015-08-23,34.625,-122.625
327,0,,2015-08-23,34.625,-122.375
328,0,,2015-08-23,34.625,-122.125
329,0,,2015-08-23,34.625,-121.875
330,0,,2015-08-23,34.625,-121.625
331,0,,2015-08-23,34.625,-121.375
332,0,,2015-08-23,34.625,-121.125
333,0,,2015-08-23,34.625,-120.875
334,0,,2015-08-23,34.625,-120.625
335,0,18.73974000000004,2015-08-23,34.625,-120.375
336,0,21.4024,2015-08-23,34.625,-120.125
337,0,19.876340000000027,2015-08-23,34.625,-119.875
338,0,19.920470000000023,2015-08-23,34.625,-119.625
339,0,19.10073,2015-08-23,34.625,-119.375
340,0,18.143640000000005,2015-08-23,34.625,-119.125
341,0,20.17584000000005,2015-08-23,34.625,-118.875
342,0,21.430960000000027,2015-08-23,34.625,-118.625
343,0,24.3741,2015-08-23,34.625,-118.375
344,0,26.218680000000006,2015-08-23,34.625,-118.125
345,0,28.243700000000047,2015-08-23,34.625,-117.875
346,0,28.666500000000042,2015-08-23,34.625,-117.625
347,0,29.233730000000037,2015-08-23,34.625,-117.375
348,0,29.063199999999995,2015-08-23,34.625,-117.125
349,0,30.258260000000007,2015-08-23,34.625,-116.875
350,0,31.636000000000024,2015-08-23,34.625,-116.625
351,0,33.70828,2015-08-23,34.625,-116.375
352,0,35.63787000000002,2015-08-23,34.625,-116.125
353,0,36.94630000000001,2015-08-23,34.625,-115.875
354,0,36.65508,2015-08-23,34.625,-115.625
355,0,36.78920000000005,2015-08-23,34.625,-115.375
356,0,34.27940000000001,2015-08-23,34.625,-115.125
357,0,36.104330000000004,2015-08-23,34.625,-114.875
358,0,36.92135000000002,2015-08-23,34.625,-114.625
359,0,,2015-08-23,34.625,-114.375
360,0,,2015-08-23,34.875,-124.125
361,0,,2015-08-23,34.875,-123.875
362,0,,2015-08-23,34.875,-123.625
363,0,,2015-08-23,34.875,-123.375
364,0,,2015-08-23,34.875,-123.125
365,0,,2015-08-23,34.875,-122.875
366,0,,2015-08-23,34.875,-122.625
367,0,,2015-08-23,34.875,-122.375
368,0,,2015-08-23,34.875,-122.125
369,0,,2015-08-23,34.875,-121.875
370,0,,2015-08-23,34.875,-121.625
371,0,,2015-08-23,34.875,-121.375
372,0,,2015-08-23,34.875,-121.125
373,0,,2015-08-23,34.875,-120.875
374,0,17.874540000000025,2015-08-23,34.875,-120.625
375,0,20.055870000000027,2015-08-23,34.875,-120.375
376,0,21.935600000000022,2015-08-23,34.875,-120.125
377,0,20.570340000000044,2015-08-23,34.875,-119.875
378,0,25.068020000000047,2015-08-23,34.875,-119.625
379,0,24.592600000000004,2015-08-23,34.875,-119.375
380,0,19.143060000000048,2015-08-23,34.875,-119.125
381,0,25.464200000000005,2015-08-23,34.875,-118.875
382,0,24.806399999999996,2015-08-23,34.875,-118.625
383,0,26.249500000000012,2015-08-23,34.875,-118.375
384,0,27.653470000000027,2015-08-23,34.875,-118.125
385,0,28.926570000000027,2015-08-23,34.875,-117.875
386,0,28.862660000000005,2015-08-23,34.875,-117.625
387,0,29.86560000000003,2015-08-23,34.875,-117.375
388,0,31.001300000000015,2015-08-23,34.875,-117.125
389,0,32.50042000000002,2015-08-23,34.875,-116.875
390,0,34.68896000000001,2015-08-23,34.875,-116.625
391,0,35.130179999999996,2015-08-23,34.875,-116.375
392,0,36.89688000000001,2015-08-23,34.875,-116.125
393,0,35.85116000000005,2015-08-23,34.875,-115.875
394,0,33.138900000000035,2015-08-23,34.875,-115.625
395,0,33.99014,2015-08-23,34.875,-115.375
396,0,34.30047000000002,2015-08-23,34.875,-115.125
397,0,35.744320000000016,2015-08-23,34.875,-114.875
398,0,,2015-08-23,34.875,-114.625
399,0,,2015-08-23,34.875,-114.375
400,0,,2015-08-23,35.125,-124.125
401,0,,2015-08-23,35.125,-123.875
402,0,,2015-08-23,35.125,-123.625
403,0,,2015-08-23,35.125,-123.375
404,0,,2015-08-23,35.125,-123.125
405,0,,2015-08-23,35.125,-122.875
406,0,,2015-08-23,35.125,-122.625
407,0,,2015-08-23,35.125,-122.375
408,0,,2015-08-23,35.125,-122.125
409,0,,2015-08-23,35.125,-121.875
410,0,,2015-08-23,35.125,-121.625
411,0,,2015-08-23,35.125,-121.375
412,0,,2015-08-23,35.125,-121.125
413,0,,2015-08-23,35.125,-120.875
414,0,18.189540000000022,2015-08-23,35.125,-120.625
415,0,19.926800000000014,2015-08-23,35.125,-120.375
416,0,21.673699999999997,2015-08-23,35.125,-120.125
417,0,25.143670000000043,2015-08-23,35.125,-119.875
418,0,25.67470000000003,2015-08-23,35.125,-119.625
419,0,28.579769999999996,2015-08-23,35.125,-119.375
420,0,29.09942000000001,2015-08-23,35.125,-119.125
421,0,31.990620000000035,2015-08-23,35.125,-118.875
422,0,24.65518000000003,2015-08-23,35.125,-118.625
423,0,26.29955000000001,2015-08-23,35.125,-118.375
424,0,29.802670000000035,2015-08-23,35.125,-118.125
425,0,30.684780000000046,2015-08-23,35.125,-117.875
426,0,30.647970000000043,2015-08-23,35.125,-117.625
427,0,31.3313,2015-08-23,35.125,-117.375
428,0,31.701300000000003,2015-08-23,35.125,-117.125
429,0,32.28393,2015-08-23,35.125,-116.875
430,0,34.2303,2015-08-23,35.125,-116.625
431,0,36.63482000000005,2015-08-23,35.125,-116.375
432,0,37.46124000000003,2015-08-23,35.125,-116.125
433,0,37.27963,2015-08-23,35.125,-115.875
434,0,34.65518000000003,2015-08-23,35.125,-115.625
435,0,32.120630000000006,2015-08-23,35.125,-115.375
436,0,33.56620000000004,2015-08-23,35.125,-115.125
437,0,34.54827,2015-08-23,35.125,-114.875
438,0,,2015-08-23,35.125,-114.625
439,0,,2015-08-23,35.125,-114.375
440,0,,2015-08-23,35.375,-124.125
441,0,,2015-08-23,35.375,-123.875
442,0,,2015-08-23,35.375,-123.625
443,0,,2015-08-23,35.375,-123.375
444,0,,2015-08-23,35.375,-123.125
445,0,,2015-08-23,35.375,-122.875
446,0,,2015-08-23,35.375,-122.625
447,0,,2015-08-23,35.375,-122.375
448,0,,2015-08-23,35.375,-122.125
449,0,,2015-08-23,35.375,-121.875
450,0,,2015-08-23,35.375,-121.625
451,0,,2015-08-23,35.375,-121.375
452,0,,2015-08-23,35.375,-121.125
453,0,,2015-08-23,35.375,-120.875
454,0,19.03146000000004,2015-08-23,35.375,-120.625
455,0,20.17670000000004,2015-08-23,35.375,-120.375
456,0,25.664180000000044,2015-08-23,35.375,-120.125
457,0,25.78030000000001,2015-08-23,35.375,-119.875
458,0,28.449580000000026,2015-08-23,35.375,-119.625
459,0,29.399350000000027,2015-08-23,35.375,-119.375
460,0,29.373220000000003,2015-08-23,35.375,-119.125
461,0,31.73290000000003,2015-08-23,35.375,-118.875
462,0,27.467280000000017,2015-08-23,35.375,-118.625
463,0,23.101920000000007,2015-08-23,35.375,-118.375
464,0,28.213300000000004,2015-08-23,35.375,-118.125
465,0,30.922570000000007,2015-08-23,35.375,-117.875
466,0,31.14620000000002,2015-08-23,35.375,-117.625
467,0,32.16677000000004,2015-08-23,35.375,-117.375
468,0,32.46720000000005,2015-08-23,35.375,-117.125
469,0,32.58328,2015-08-23,35.375,-116.875
470,0,33.22573,2015-08-23,35.375,-116.625
471,0,34.878870000000006,2015-08-23,35.375,-116.375
472,0,37.18150000000003,2015-08-23,35.375,-116.125
473,0,34.8886,2015-08-23,35.375,-115.875
474,0,32.55218000000002,2015-08-23,35.375,-115.625
475,0,34.15563000000003,2015-08-23,35.375,-115.375
476,0,32.828599999999994,2015-08-23,35.375,-115.125
477,0,,2015-08-23,35.375,-114.875
478,0,,2015-08-23,35.375,-114.625
479,0,,2015-08-23,35.375,-114.375
480,0,,2015-08-23,35.625,-124.125
481,0,,2015-08-23,35.625,-123.875
482,0,,2015-08-23,35.625,-123.625
483,0,,2015-08-23,35.625,-123.375
484,0,,2015-08-23,35.625,-123.125
485,0,,2015-08-23,35.625,-122.875
486,0,,2015-08-23,35.625,-122.625
487,0,,2015-08-23,35.625,-122.375
488,0,,2015-08-23,35.625,-122.125
489,0,,2015-08-23,35.625,-121.875
490,0,,2015-08-23,35.625,-121.625
491,0,,2015-08-23,35.625,-121.375
492,0,18.900540000000035,2015-08-23,35.625,-121.125
493,0,19.004400000000032,2015-08-23,35.625,-120.875
494,0,24.37130000000002,2015-08-23,35.625,-120.625
495,0,25.487760000000037,2015-08-23,35.625,-120.375
496,0,26.710350000000005,2015-08-23,35.625,-120.125
497,0,28.64214000000004,2015-08-23,35.625,-119.875
498,0,29.99430000000001,2015-08-23,35.625,-119.625
499,0,29.72573,2015-08-23,35.625,-119.375
500,0,28.79110000000003,2015-08-23,35.625,-119.125
501,0,28.931939999999997,2015-08-23,35.625,-118.875
502,0,23.721400000000017,2015-08-23,35.625,-118.625
503,0,26.627650000000017,2015-08-23,35.625,-118.375
504,0,27.290580000000034,2015-08-23,35.625,-118.125
505,0,30.301300000000026,2015-08-23,35.625,-117.875
506,0,33.32836000000003,2015-08-23,35.625,-117.625
507,0,36.03000000000003,2015-08-23,35.625,-117.375
508,0,36.67266000000001,2015-08-23,35.625,-117.125
509,0,34.88470000000001,2015-08-23,35.625,-116.875
510,0,37.003960000000006,2015-08-23,35.625,-116.625
511,0,37.98565000000002,2015-08-23,35.625,-116.375
512,0,37.40396000000004,2015-08-23,35.625,-116.125
513,0,34.86710000000005,2015-08-23,35.625,-115.875
514,0,33.950860000000034,2015-08-23,35.625,-115.625
515,0,,2015-08-23,35.625,-115.375
516,0,,2015-08-23,35.625,-115.125
517,0,,2015-08-23,35.625,-114.875
518,0,,2015-08-23,35.625,-114.625
519,0,,2015-08-23,35.625,-114.375
520,0,,2015-08-23,35.875,-124.125
521,0,,2015-08-23,35.875,-123.875
522,0,,2015-08-23,35.875,-123.625
523,0,,2015-08-23,35.875,-123.375
524,0,,2015-08-23,35.875,-123.125
525,0,,2015-08-23,35.875,-122.875
526,0,,2015-08-23,35.875,-122.625
527,0,,2015-08-23,35.875,-122.375
528,0,,2015-08-23,35.875,-122.125
529,0,,2015-08-23,35.875,-121.875
530,0,,2015-08-23,35.875,-121.625
531,0,18.971640000000036,2015-08-23,35.875,-121.375
532,0,21.726830000000007,2015-08-23,35.875,-121.125
533,0,25.255120000000034,2015-08-23,35.875,-120.875
534,0,22.383970000000033,2015-08-23,35.875,-120.625
535,0,22.862240000000043,2015-08-23,35.875,-120.375
536,0,28.859280000000012,2015-08-23,35.875,-120.125
537,0,29.708600000000047,2015-08-23,35.875,-119.875
538,0,29.715700000000027,2015-08-23,35.875,-119.625
539,0,29.420740000000023,2015-08-23,35.875,-119.375
540,0,28.74120000000005,2015-08-23,35.875,-119.125
541,0,29.669100000000014,2015-08-23,35.875,-118.875
542,0,21.646360000000016,2015-08-23,35.875,-118.625
543,0,19.60668000000004,2015-08-23,35.875,-118.375
544,0,24.50740000000002,2015-08-23,35.875,-118.125
545,0,29.753700000000038,2015-08-23,35.875,-117.875
546,0,32.17560000000003,2015-08-23,35.875,-117.625
547,0,34.88546000000002,2015-08-23,35.875,-117.375
548,0,36.96194000000003,2015-08-23,35.875,-117.125
549,0,38.055840000000046,2015-08-23,35.875,-116.875
550,0,38.68850000000003,2015-08-23,35.875,-116.625
551,0,36.86273,2015-08-23,35.875,-116.375
552,0,35.958060000000046,2015-08-23,35.875,-116.125
553,0,35.23168000000004,2015-08-23,35.875,-115.875
554,0,,2015-08-23,35.875,-115.625
555,0,,2015-08-23,35.875,-115.375
556,0,,2015-08-23,35.875,-115.125
557,0,,2015-08-23,35.875,-114.875
558,0,,2015-08-23,35.875,-114.625
559,0,,2015-08-23,35.875,-114.375
560,0,,2015-08-23,36.125,-124.125
561,0,,2015-08-23,36.125,-123.875
562,0,,2015-08-23,36.125,-123.625
563,0,,2015-08-23,36.125,-123.375
564,0,,2015-08-23,36.125,-123.125
565,0,,2015-08-23,36.125,-122.875
566,0,,2015-08-23,36.125,-122.625
567,0,,2015-08-23,36.125,-122.375
568,0,,2015-08-23,36.125,-122.125
569,0,,2015-08-23,36.125,-121.875
570,0,15.769949999999994,2015-08-23,36.125,-121.625
571,0,19.19625000000002,2015-08-23,36.125,-121.375
572,0,23.428770000000043,2015-08-23,36.125,-121.125
573,0,25.960380000000043,2015-08-23,36.125,-120.875
574,0,22.31423000000001,2015-08-23,36.125,-120.625
575,0,28.62990000000002,2015-08-23,36.125,-120.375
576,0,29.959600000000023,2015-08-23,36.125,-120.125
577,0,30.735220000000027,2015-08-23,36.125,-119.875
578,0,30.234520000000032,2015-08-23,36.125,-119.625
579,0,29.59740000000005,2015-08-23,36.125,-119.375
580,0,29.21057000000002,2015-08-23,36.125,-119.125
