,lat,lon,SPEEDLML
0,33.0,-116.875,4.84129
1,33.0,-116.25,7.6114426
2,33.0,-115.625,6.4960537
3,33.0,-115.0,4.0320096
4,33.5,-117.5,3.979993
5,33.5,-116.875,4.709761
6,33.5,-116.25,6.1408887
7,33.5,-115.625,5.546404
8,33.5,-115.0,5.189382
9,34.0,-118.125,3.0839224
10,34.0,-117.5,3.587248
11,34.0,-116.875,4.5762115
12,34.0,-116.25,5.9963017
13,34.0,-115.625,5.791819
14,34.0,-115.0,5.257823
15,34.5,-120.0,6.19483
16,34.5,-119.375,3.7430146
17,34.5,-118.75,4.8735847
18,34.5,-118.125,5.164606
19,34.5,-117.5,5.466753
20,34.5,-116.875,6.5750346
21,34.5,-116.25,6.9998245
22,34.5,-115.625,6.0865264
23,34.5,-115.0,5.759688
24,35.0,-120.625,7.488646
25,35.0,-120.0,5.9295063
26,35.0,-119.375,6.3308673
27,35.0,-118.75,6.562446
28,35.0,-118.125,7.2985196
29,35.0,-117.5,7.1839547
30,35.0,-116.875,7.666345
31,35.0,-116.25,6.2276173
32,35.0,-115.625,4.9521027
33,35.0,-115.0,6.016865
34,35.5,-120.625,5.5720596
35,35.5,-120.0,5.465381
36,35.5,-119.375,5.998655
37,35.5,-118.75,5.782614
38,35.5,-118.125,8.232852
39,35.5,-117.5,6.8373947
40,35.5,-116.875,6.729019
41,35.5,-116.25,5.9800057
42,35.5,-115.625,5.257836
43,36.0,-121.25,7.127993
44,36.0,-120.625,5.899921
45,36.0,-120.0,6.9255376
46,36.0,-119.375,6.45629
47,36.0,-118.75,5.2429976
48,36.0,-118.125,6.7794437
49,36.0,-117.5,5.5323906
50,36.0,-116.875,5.0093436
51,36.0,-116.25,5.7900276
52,36.5,-121.875,5.110594
53,36.5,-121.25,5.8908706
54,36.5,-120.625,7.885391
55,36.5,-120.0,8.746122
56,36.5,-119.375,5.6744175
57,36.5,-118.75,4.069974
58,36.5,-118.125,5.1602063
59,36.5,-117.5,4.5691414
60,36.5,-116.875,4.741369
61,37.0,-121.875,4.9177613
62,37.0,-121.25,6.602426
63,37.0,-120.625,8.138808
64,37.0,-120.0,7.4026737
65,37.0,-119.375,4.83826
66,37.0,-118.75,4.240914
67,37.0,-118.125,4.6893234
68,37.0,-117.5,4.5864816
69,37.5,-121.875,6.542692
70,37.5,-121.25,7.4346313
71,37.5,-120.625,6.930123
72,37.5,-120.0,5.2984557
73,37.5,-119.375,3.8082123
74,37.5,-118.75,5.261255
75,37.5,-118.125,4.43897
76,38.0,-122.5,7.272489
77,38.0,-121.875,8.470134
78,38.0,-121.25,6.792976
79,38.0,-120.625,4.965174
80,38.0,-120.0,4.087349
81,38.0,-119.375,5.023169
82,38.0,-118.75,5.6711903
83,38.5,-123.125,7.2006774
84,38.5,-122.5,6.861976
85,38.5,-121.875,6.618192
86,38.5,-121.25,6.2669773
87,38.5,-120.625,4.9244075
88,38.5,-120.0,5.5365357
89,38.5,-119.375,6.30273
90,39.0,-123.125,5.783312
91,39.0,-122.5,6.215389
92,39.0,-121.875,5.403772
93,39.0,-121.25,6.358999
94,39.0,-120.625,5.6351147
95,39.5,-123.75,3.771458
96,39.5,-123.125,5.217106
97,39.5,-122.5,6.233464
98,39.5,-121.875,6.067266
99,39.5,-121.25,6.133304
100,39.5,-120.625,5.718023
101,40.0,-123.75,3.2415202
102,40.0,-123.125,4.7217636
103,40.0,-122.5,4.9746833
104,40.0,-121.875,6.6599727
105,40.0,-121.25,5.675347
106,40.0,-120.625,6.1728845
107,40.0,-120.0,6.1708274
108,40.5,-124.375,3.9775937
109,40.5,-123.75,2.6359415
110,40.5,-123.125,4.108132
111,40.5,-122.5,3.7381668
112,40.5,-121.875,5.8182006
113,40.5,-121.25,6.256296
114,40.5,-120.625,6.3023815
115,40.5,-120.0,6.510716
116,41.0,-123.75,2.013117
117,41.0,-123.125,2.9866555
118,41.0,-122.5,3.5196664
119,41.0,-121.875,5.232671
120,41.0,-121.25,7.1335797
121,41.0,-120.625,7.003631
122,41.0,-120.0,7.3422275
123,41.5,-123.75,2.0830648
124,41.5,-123.125,3.0154169
125,41.5,-122.5,3.4046252
126,41.5,-121.875,4.746919
127,41.5,-121.25,6.3683815
128,41.5,-120.625,7.3688836
129,41.5,-120.0,7.422277
130,42.0,-123.125,2.5273056
131,42.0,-122.5,2.9542272
132,42.0,-121.875,4.727223
