,lat,lon,SPEEDLML
0,33.0,-116.875,3.3913739
1,33.0,-116.25,3.802186
2,33.0,-115.625,4.0430317
3,33.0,-115.0,4.6215777
4,33.5,-117.5,3.46648
5,33.5,-116.875,2.9135282
6,33.5,-116.25,3.5251615
7,33.5,-115.625,4.3969116
8,33.5,-115.0,4.8785625
9,34.0,-118.125,3.4372358
10,34.0,-117.5,2.832916
11,34.0,-116.875,2.2440302
12,34.0,-116.25,3.2541935
13,34.0,-115.625,4.3817577
14,34.0,-115.0,4.699552
15,34.5,-120.0,6.000408
16,34.5,-119.375,4.901734
17,34.5,-118.75,4.6333585
18,34.5,-118.125,3.154926
19,34.5,-117.5,2.3885362
20,34.5,-116.875,2.4149764
21,34.5,-116.25,3.121587
22,34.5,-115.625,4.034222
23,34.5,-115.0,4.766902
24,35.0,-120.625,6.6259828
25,35.0,-120.0,5.5725007
26,35.0,-119.375,3.5094101
27,35.0,-118.75,3.6158457
28,35.0,-118.125,3.5494583
29,35.0,-117.5,2.5556252
30,35.0,-116.875,2.664326
31,35.0,-116.25,2.0959861
32,35.0,-115.625,3.2782812
33,35.0,-115.0,4.2511187
34,35.5,-120.625,5.040403
35,35.5,-120.0,3.8176005
36,35.5,-119.375,2.7538016
37,35.5,-118.75,3.0049393
38,35.5,-118.125,3.7921772
39,35.5,-117.5,2.6450787
40,35.5,-116.875,2.1759756
41,35.5,-116.25,2.3454065
42,35.5,-115.625,2.4342859
43,36.0,-121.25,4.6269627
44,36.0,-120.625,4.247784
45,36.0,-120.0,3.7784681
46,36.0,-119.375,2.7352903
47,36.0,-118.75,3.3810194
48,36.0,-118.125,3.322047
49,36.0,-117.5,2.9028256
50,36.0,-116.875,2.0819204
51,36.0,-116.25,2.571708
52,36.5,-121.875,3.8390934
53,36.5,-121.25,3.472607
54,36.5,-120.625,4.4476666
55,36.5,-120.0,3.943557
56,36.5,-119.375,3.4191053
57,36.5,-118.75,2.9490087
58,36.5,-118.125,2.4834146
59,36.5,-117.5,2.9266186
60,36.5,-116.875,2.735631
61,37.0,-121.875,3.1620398
62,37.0,-121.25,3.7392292
63,37.0,-120.625,4.3736534
64,37.0,-120.0,3.3535402
65,37.0,-119.375,3.7104034
66,37.0,-118.75,2.7103813
67,37.0,-118.125,1.975708
68,37.0,-117.5,3.1568449
69,37.5,-121.875,3.5977905
70,37.5,-121.25,4.9664726
71,37.5,-120.625,4.7035756
72,37.5,-120.0,3.9459374
73,37.5,-119.375,3.372778
74,37.5,-118.75,2.1885617
75,37.5,-118.125,2.1344888
76,38.0,-122.5,4.4800477
77,38.0,-121.875,4.1820097
78,38.0,-121.25,4.6332746
79,38.0,-120.625,4.6207604
80,38.0,-120.0,3.773708
81,38.0,-119.375,2.2122567
82,38.0,-118.75,2.5629323
83,38.5,-123.125,7.5870957
84,38.5,-122.5,3.9528246
85,38.5,-121.875,3.4943988
86,38.5,-121.25,3.536187
87,38.5,-120.625,4.333426
88,38.5,-120.0,3.1853044
89,38.5,-119.375,2.5903745
90,39.0,-123.125,5.1927004
91,39.0,-122.5,3.4356668
92,39.0,-121.875,3.1189718
93,39.0,-121.25,3.6428614
94,39.0,-120.625,3.8994606
95,39.5,-123.75,5.8549156
96,39.5,-123.125,4.4166484
97,39.5,-122.5,3.9911091
98,39.5,-121.875,3.1350543
99,39.5,-121.25,3.604514
100,39.5,-120.625,3.4444182
101,40.0,-123.75,4.675296
102,40.0,-123.125,4.175957
103,40.0,-122.5,5.82699
104,40.0,-121.875,4.3457103
105,40.0,-121.25,3.2526655
106,40.0,-120.625,3.407769
107,40.0,-120.0,3.5402725
108,40.5,-124.375,4.8030972
109,40.5,-123.75,4.0129285
110,40.5,-123.125,4.5283337
111,40.5,-122.5,4.5079055
112,40.5,-121.875,3.516549
113,40.5,-121.25,3.5669653
114,40.5,-120.625,3.752634
115,40.5,-120.0,3.8000062
116,41.0,-123.75,2.5214834
117,41.0,-123.125,3.670641
118,41.0,-122.5,4.303903
119,41.0,-121.875,3.2739818
120,41.0,-121.25,3.6871731
121,41.0,-120.625,4.5154777
122,41.0,-120.0,5.0650296
123,41.5,-123.75,2.5711691
124,41.5,-123.125,3.3590288
125,41.5,-122.5,3.5604112
126,41.5,-121.875,4.2121334
127,41.5,-121.25,3.8184512
128,41.5,-120.625,4.524116
129,41.5,-120.0,5.3661704
130,42.0,-123.125,3.7431471
131,42.0,-122.5,3.2750428
132,42.0,-121.875,4.599549
