lat,lon,time,spatial_ref,SPEEDLML
33.0,-118.125,2015-08-14 04:00:00,0,0.0
33.0,-118.125,2015-08-14 05:00:00,0,0.0
33.0,-118.125,2015-08-14 06:00:00,0,0.0
33.0,-118.125,2015-08-14 07:00:00,0,0.0
33.0,-118.125,2015-08-14 08:00:00,0,0.0
33.0,-118.125,2015-08-14 09:00:00,0,0.0
33.0,-118.125,2015-08-14 10:00:00,0,0.0
33.0,-118.125,2015-08-14 11:00:00,0,0.0
33.0,-118.125,2015-08-14 12:00:00,0,0.0
33.0,-118.125,2015-08-14 13:00:00,0,0.0
33.0,-118.125,2015-08-14 14:00:00,0,0.0
33.0,-118.125,2015-08-14 15:00:00,0,0.0
33.0,-118.125,2015-08-14 16:00:00,0,0.0
33.0,-118.125,2015-08-14 17:00:00,0,0.0
33.0,-118.125,2015-08-14 18:00:00,0,0.0
33.0,-118.125,2015-08-14 19:00:00,0,0.0
33.0,-118.125,2015-08-14 20:00:00,0,0.0
33.0,-118.125,2015-08-14 21:00:00,0,0.0
33.0,-118.125,2015-08-14 22:00:00,0,0.0
33.0,-118.125,2015-08-14 23:00:00,0,0.0
33.0,-117.5,2015-08-14 00:00:00,0,0.0
33.0,-117.5,2015-08-14 01:00:00,0,0.0
33.0,-117.5,2015-08-14 02:00:00,0,0.0
33.0,-117.5,2015-08-14 03:00:00,0,0.0
33.0,-117.5,2015-08-14 04:00:00,0,0.0
33.0,-117.5,2015-08-14 05:00:00,0,0.0
33.0,-117.5,2015-08-14 06:00:00,0,0.0
33.0,-117.5,2015-08-14 07:00:00,0,0.0
33.0,-117.5,2015-08-14 08:00:00,0,0.0
33.0,-117.5,2015-08-14 09:00:00,0,0.0
33.0,-117.5,2015-08-14 10:00:00,0,0.0
33.0,-117.5,2015-08-14 11:00:00,0,0.0
33.0,-117.5,2015-08-14 12:00:00,0,0.0
33.0,-117.5,2015-08-14 13:00:00,0,0.0
33.0,-117.5,2015-08-14 14:00:00,0,0.0
33.0,-117.5,2015-08-14 15:00:00,0,0.0
33.0,-117.5,2015-08-14 16:00:00,0,0.0
33.0,-117.5,2015-08-14 17:00:00,0,0.0
33.0,-117.5,2015-08-14 18:00:00,0,0.0
33.0,-117.5,2015-08-14 19:00:00,0,0.0
33.0,-117.5,2015-08-14 20:00:00,0,0.0
33.0,-117.5,2015-08-14 21:00:00,0,0.0
33.0,-117.5,2015-08-14 22:00:00,0,0.0
33.0,-117.5,2015-08-14 23:00:00,0,0.0
33.0,-116.875,2015-08-14 00:00:00,0,6.727089
33.0,-116.875,2015-08-14 01:00:00,0,6.556438
33.0,-116.875,2015-08-14 02:00:00,0,6.248614
33.0,-116.875,2015-08-14 03:00:00,0,5.70482
33.0,-116.875,2015-08-14 04:00:00,0,4.9837704
33.0,-116.875,2015-08-14 05:00:00,0,4.247337
33.0,-116.875,2015-08-14 06:00:00,0,3.7766933
33.0,-116.875,2015-08-14 07:00:00,0,3.6775963
33.0,-116.875,2015-08-14 08:00:00,0,3.7225182
33.0,-116.875,2015-08-14 09:00:00,0,3.8362
33.0,-116.875,2015-08-14 10:00:00,0,4.025122
33.0,-116.875,2015-08-14 11:00:00,0,4.2110763
33.0,-116.875,2015-08-14 12:00:00,0,4.4164467
33.0,-116.875,2015-08-14 13:00:00,0,4.5101156
33.0,-116.875,2015-08-14 14:00:00,0,4.4926653
33.0,-116.875,2015-08-14 15:00:00,0,3.6362548
33.0,-116.875,2015-08-14 16:00:00,0,2.6401968
33.0,-116.875,2015-08-14 17:00:00,0,1.7449627
33.0,-116.875,2015-08-14 18:00:00,0,2.991274
33.0,-116.875,2015-08-14 19:00:00,0,4.1299944
33.0,-116.875,2015-08-14 20:00:00,0,5.2604237
33.0,-116.875,2015-08-14 21:00:00,0,6.17249
33.0,-116.875,2015-08-14 22:00:00,0,6.743055
33.0,-116.875,2015-08-14 23:00:00,0,6.921968
33.0,-116.25,2015-08-14 00:00:00,0,4.6487923
33.0,-116.25,2015-08-14 01:00:00,0,6.2302113
33.0,-116.25,2015-08-14 02:00:00,0,8.145996
33.0,-116.25,2015-08-14 03:00:00,0,9.187783
33.0,-116.25,2015-08-14 04:00:00,0,8.839872
33.0,-116.25,2015-08-14 05:00:00,0,8.053108
33.0,-116.25,2015-08-14 06:00:00,0,7.5790825
33.0,-116.25,2015-08-14 07:00:00,0,7.5599527
33.0,-116.25,2015-08-14 08:00:00,0,7.7128115
33.0,-116.25,2015-08-14 09:00:00,0,7.765992
33.0,-116.25,2015-08-14 10:00:00,0,7.8167343
33.0,-116.25,2015-08-14 11:00:00,0,7.535463
33.0,-116.25,2015-08-14 12:00:00,0,7.286033
33.0,-116.25,2015-08-14 13:00:00,0,7.170951
33.0,-116.25,2015-08-14 14:00:00,0,6.8182244
33.0,-116.25,2015-08-14 15:00:00,0,5.0540624
33.0,-116.25,2015-08-14 16:00:00,0,3.122497
33.0,-116.25,2015-08-14 17:00:00,0,1.9245167
33.0,-116.25,2015-08-14 18:00:00,0,2.1053963
33.0,-116.25,2015-08-14 19:00:00,0,2.3238473
33.0,-116.25,2015-08-14 20:00:00,0,2.5520003
33.0,-116.25,2015-08-14 21:00:00,0,3.1555336
33.0,-116.25,2015-08-14 22:00:00,0,4.315194
33.0,-116.25,2015-08-14 23:00:00,0,5.695847
33.0,-115.625,2015-08-14 00:00:00,0,4.6712737
33.0,-115.625,2015-08-14 01:00:00,0,3.9075034
33.0,-115.625,2015-08-14 02:00:00,0,3.1585934
33.0,-115.625,2015-08-14 03:00:00,0,3.0678594
33.0,-115.625,2015-08-14 04:00:00,0,4.8300586
33.0,-115.625,2015-08-14 05:00:00,0,5.952748
33.0,-115.625,2015-08-14 06:00:00,0,6.5471716
33.0,-115.625,2015-08-14 07:00:00,0,6.559693
33.0,-115.625,2015-08-14 08:00:00,0,6.2624674
