,lat,lon,SPEEDLML
0,33.0,-116.875,4.5884924
1,33.0,-116.25,4.412219
2,33.0,-115.625,4.2417545
3,33.0,-115.0,3.669317
4,33.5,-117.5,3.7810707
5,33.5,-116.875,3.5912354
6,33.5,-116.25,4.133037
7,33.5,-115.625,4.7252254
8,33.5,-115.0,4.0804243
9,34.0,-118.125,2.9590607
10,34.0,-117.5,3.2870653
11,34.0,-116.875,3.325576
12,34.0,-116.25,4.5232415
13,34.0,-115.625,5.108451
14,34.0,-115.0,3.8367484
15,34.5,-120.0,4.6199408
16,34.5,-119.375,4.526758
17,34.5,-118.75,3.4932241
18,34.5,-118.125,3.232713
19,34.5,-117.5,3.118972
20,34.5,-116.875,3.3430784
21,34.5,-116.25,4.293947
22,34.5,-115.625,4.780638
23,34.5,-115.0,3.8531942
24,35.0,-120.625,4.5200977
25,35.0,-120.0,3.628232
26,35.0,-119.375,2.8084927
27,35.0,-118.75,3.0906694
28,35.0,-118.125,3.7301466
29,35.0,-117.5,3.0376008
30,35.0,-116.875,3.1896722
31,35.0,-116.25,3.1567574
32,35.0,-115.625,3.9602377
33,35.0,-115.0,3.6297016
34,35.5,-120.625,3.2217772
35,35.5,-120.0,2.7884264
36,35.5,-119.375,3.3392248
37,35.5,-118.75,2.8886442
38,35.5,-118.125,3.8003664
39,35.5,-117.5,3.2382877
40,35.5,-116.875,2.7967875
41,35.5,-116.25,2.511927
42,35.5,-115.625,2.7811632
43,36.0,-121.25,3.2398145
44,36.0,-120.625,2.880598
45,36.0,-120.0,3.4173574
46,36.0,-119.375,3.0391595
47,36.0,-118.75,3.8142815
48,36.0,-118.125,3.2452133
49,36.0,-117.5,2.962657
50,36.0,-116.875,2.331383
51,36.0,-116.25,2.4653003
52,36.5,-121.875,2.7553537
53,36.5,-121.25,2.49037
54,36.5,-120.625,3.6487129
55,36.5,-120.0,4.5557384
56,36.5,-119.375,3.7788432
57,36.5,-118.75,3.4868107
58,36.5,-118.125,2.5752032
59,36.5,-117.5,2.6953914
60,36.5,-116.875,2.5417058
61,37.0,-121.875,2.0561948
62,37.0,-121.25,2.9891484
63,37.0,-120.625,4.4946637
64,37.0,-120.0,4.113132
65,37.0,-119.375,4.2128253
66,37.0,-118.75,2.955829
67,37.0,-118.125,1.8833936
68,37.0,-117.5,2.9727478
69,37.5,-121.875,2.930826
70,37.5,-121.25,3.8981075
71,37.5,-120.625,4.248651
72,37.5,-120.0,4.142977
73,37.5,-119.375,3.4734128
74,37.5,-118.75,2.486859
75,37.5,-118.125,2.1729832
76,38.0,-122.5,3.408859
77,38.0,-121.875,4.5015526
78,38.0,-121.25,4.074125
79,38.0,-120.625,3.8982105
80,38.0,-120.0,4.281038
81,38.0,-119.375,2.9257803
82,38.0,-118.75,2.8105428
83,38.5,-123.125,2.9558265
84,38.5,-122.5,3.751565
85,38.5,-121.875,4.4339414
86,38.5,-121.25,3.3926222
87,38.5,-120.625,3.9427254
88,38.5,-120.0,4.147143
89,38.5,-119.375,2.9704869
90,39.0,-123.125,3.0284748
91,39.0,-122.5,3.519578
92,39.0,-121.875,3.5406501
93,39.0,-121.25,3.7076437
94,39.0,-120.625,4.1925883
95,39.5,-123.75,3.0757291
96,39.5,-123.125,3.2689364
97,39.5,-122.5,2.6407745
98,39.5,-121.875,4.7814894
99,39.5,-121.25,4.3663006
100,39.5,-120.625,4.1691413
101,40.0,-123.75,3.2088678
102,40.0,-123.125,3.0357437
103,40.0,-122.5,2.5005903
104,40.0,-121.875,5.0842595
105,40.0,-121.25,3.54976
106,40.0,-120.625,3.0617983
107,40.0,-120.0,2.408903
108,40.5,-124.375,2.9005034
109,40.5,-123.75,3.6245635
110,40.5,-123.125,2.9826052
111,40.5,-122.5,2.803129
112,40.5,-121.875,4.1914754
113,40.5,-121.25,3.681551
114,40.5,-120.625,2.3810236
115,40.5,-120.0,2.067394
116,41.0,-123.75,3.2443066
117,41.0,-123.125,3.2532914
118,41.0,-122.5,3.1309025
119,41.0,-121.875,2.7627363
120,41.0,-121.25,4.3775306
121,41.0,-120.625,3.5675192
122,41.0,-120.0,2.9415286
123,41.5,-123.75,3.1001024
124,41.5,-123.125,3.4550934
125,41.5,-122.5,3.4712505
126,41.5,-121.875,3.6530726
127,41.5,-121.25,4.036775
128,41.5,-120.625,3.9663353
129,41.5,-120.0,3.891475
130,42.0,-123.125,3.6437094
131,42.0,-122.5,3.2231019
132,42.0,-121.875,3.806671
