,lat,lon,SPEEDLML
0,33.0,-116.875,4.867718
1,33.0,-116.25,6.3243694
2,33.0,-115.625,4.9618425
3,33.0,-115.0,4.1433325
4,33.5,-117.5,3.1547244
5,33.5,-116.875,3.9479644
6,33.5,-116.25,4.5463877
7,33.5,-115.625,3.5546503
8,33.5,-115.0,3.878542
9,34.0,-118.125,2.9468606
10,34.0,-117.5,3.1286612
11,34.0,-116.875,3.3779154
12,34.0,-116.25,3.8094988
13,34.0,-115.625,3.922013
14,34.0,-115.0,3.595216
15,34.5,-120.0,3.9969132
16,34.5,-119.375,2.8423088
17,34.5,-118.75,2.6797247
18,34.5,-118.125,3.518997
19,34.5,-117.5,4.3418026
20,34.5,-116.875,4.5645013
21,34.5,-116.25,4.425857
22,34.5,-115.625,3.9942162
23,34.5,-115.0,3.439666
24,35.0,-120.625,3.6677227
25,35.0,-120.0,3.25059
26,35.0,-119.375,2.4759452
27,35.0,-118.75,2.666138
28,35.0,-118.125,4.1984706
29,35.0,-117.5,4.794416
30,35.0,-116.875,4.64751
31,35.0,-116.25,3.5680902
32,35.0,-115.625,3.4407387
33,35.0,-115.0,3.4078891
34,35.5,-120.625,3.8329802
35,35.5,-120.0,4.5286827
36,35.5,-119.375,4.476173
37,35.5,-118.75,3.014869
38,35.5,-118.125,3.873616
39,35.5,-117.5,3.8748941
40,35.5,-116.875,3.9367256
41,35.5,-116.25,3.033438
42,35.5,-115.625,3.0060768
43,36.0,-121.25,3.6835968
44,36.0,-120.625,4.4691715
45,36.0,-120.0,5.1771264
46,36.0,-119.375,4.6137576
47,36.0,-118.75,3.2378044
48,36.0,-118.125,3.746384
49,36.0,-117.5,3.6823235
50,36.0,-116.875,3.1457472
51,36.0,-116.25,3.3697844
52,36.5,-121.875,4.1270957
53,36.5,-121.25,3.8174934
54,36.5,-120.625,4.4660125
55,36.5,-120.0,5.02605
56,36.5,-119.375,3.5979931
57,36.5,-118.75,3.2334442
58,36.5,-118.125,4.053037
59,36.5,-117.5,3.800435
60,36.5,-116.875,3.854266
61,37.0,-121.875,4.039655
62,37.0,-121.25,4.9317474
63,37.0,-120.625,5.592133
64,37.0,-120.0,3.8649995
65,37.0,-119.375,3.7298338
66,37.0,-118.75,3.8293993
67,37.0,-118.125,3.7754192
68,37.0,-117.5,4.3165855
69,37.5,-121.875,5.2906623
70,37.5,-121.25,5.471735
71,37.5,-120.625,5.1843004
72,37.5,-120.0,4.424105
73,37.5,-119.375,4.341026
74,37.5,-118.75,4.38129
75,37.5,-118.125,4.645268
76,38.0,-122.5,5.519404
77,38.0,-121.875,6.8450036
78,38.0,-121.25,6.0097556
79,38.0,-120.625,4.624698
80,38.0,-120.0,4.7022653
81,38.0,-119.375,4.761462
82,38.0,-118.75,4.138577
83,38.5,-123.125,4.588195
84,38.5,-122.5,5.838263
85,38.5,-121.875,6.6868916
86,38.5,-121.25,5.487249
87,38.5,-120.625,4.4350114
88,38.5,-120.0,5.1128745
89,38.5,-119.375,3.673189
90,39.0,-123.125,4.0305467
91,39.0,-122.5,6.1667037
92,39.0,-121.875,6.2503934
93,39.0,-121.25,5.3724017
94,39.0,-120.625,4.4224095
95,39.5,-123.75,2.9189909
96,39.5,-123.125,3.5595133
97,39.5,-122.5,5.454249
98,39.5,-121.875,6.5639663
99,39.5,-121.25,5.34183
100,39.5,-120.625,4.5080895
101,40.0,-123.75,2.800477
102,40.0,-123.125,3.6988118
103,40.0,-122.5,4.404556
104,40.0,-121.875,7.366633
105,40.0,-121.25,5.027314
106,40.0,-120.625,4.312234
107,40.0,-120.0,3.421271
108,40.5,-124.375,2.955181
109,40.5,-123.75,3.072112
110,40.5,-123.125,3.4226167
111,40.5,-122.5,3.3208406
112,40.5,-121.875,6.4176655
113,40.5,-121.25,5.2675514
114,40.5,-120.625,3.8822086
115,40.5,-120.0,2.998333
116,41.0,-123.75,3.1289656
117,41.0,-123.125,3.2253792
118,41.0,-122.5,3.5818996
119,41.0,-121.875,3.7487752
120,41.0,-121.25,4.7873654
121,41.0,-120.625,3.5403254
122,41.0,-120.0,3.809828
123,41.5,-123.75,3.0487423
124,41.5,-123.125,3.0344312
125,41.5,-122.5,4.2158556
126,41.5,-121.875,4.2962413
127,41.5,-121.25,3.691499
128,41.5,-120.625,3.0805466
129,41.5,-120.0,3.9052064
130,42.0,-123.125,2.5848675
131,42.0,-122.5,3.8494174
132,42.0,-121.875,4.6273513
