,lat,lon,SPEEDLML
0,33.0,-116.875,3.6947057
1,33.0,-116.25,5.1766877
2,33.0,-115.625,4.343926
3,33.0,-115.0,6.238026
4,33.5,-117.5,3.122738
5,33.5,-116.875,3.3072102
6,33.5,-116.25,3.5083983
7,33.5,-115.625,4.9082913
8,33.5,-115.0,6.1169357
9,34.0,-118.125,3.0259292
10,34.0,-117.5,2.8948538
11,34.0,-116.875,3.2317276
12,34.0,-116.25,3.6857908
13,34.0,-115.625,5.2356076
14,34.0,-115.0,5.8203754
15,34.5,-120.0,3.3523128
16,34.5,-119.375,3.1901512
17,34.5,-118.75,4.0966706
18,34.5,-118.125,5.054116
19,34.5,-117.5,5.067839
20,34.5,-116.875,5.171688
21,34.5,-116.25,5.374754
22,34.5,-115.625,5.4637465
23,34.5,-115.0,5.7960477
24,35.0,-120.625,4.1359215
25,35.0,-120.0,4.3323846
26,35.0,-119.375,5.575498
27,35.0,-118.75,6.221643
28,35.0,-118.125,7.895558
29,35.0,-117.5,7.760803
30,35.0,-116.875,7.2893825
31,35.0,-116.25,5.9898815
32,35.0,-115.625,6.30594
33,35.0,-115.0,6.558718
34,35.5,-120.625,4.0534635
35,35.5,-120.0,5.8169956
36,35.5,-119.375,6.1742883
37,35.5,-118.75,4.9859586
38,35.5,-118.125,8.684857
39,35.5,-117.5,7.1808734
40,35.5,-116.875,7.2377477
41,35.5,-116.25,7.099235
42,35.5,-115.625,7.524531
43,36.0,-121.25,6.767757
44,36.0,-120.625,4.961486
45,36.0,-120.0,6.331739
46,36.0,-119.375,5.5394974
47,36.0,-118.75,4.753946
48,36.0,-118.125,6.8101673
49,36.0,-117.5,5.5469337
50,36.0,-116.875,5.397074
51,36.0,-116.25,7.0150795
52,36.5,-121.875,5.848621
53,36.5,-121.25,5.595785
54,36.5,-120.625,6.71401
55,36.5,-120.0,7.259601
56,36.5,-119.375,5.0521584
57,36.5,-118.75,3.7481444
58,36.5,-118.125,5.3939424
59,36.5,-117.5,4.5778747
60,36.5,-116.875,4.4965663
61,37.0,-121.875,5.4068966
62,37.0,-121.25,6.5237427
63,37.0,-120.625,7.246594
64,37.0,-120.0,6.229887
65,37.0,-119.375,4.500055
66,37.0,-118.75,4.426382
67,37.0,-118.125,4.9967933
68,37.0,-117.5,4.894074
69,37.5,-121.875,7.075169
70,37.5,-121.25,7.1188245
71,37.5,-120.625,5.803543
72,37.5,-120.0,4.5488095
73,37.5,-119.375,4.289399
74,37.5,-118.75,5.713793
75,37.5,-118.125,4.7112355
76,38.0,-122.5,7.730599
77,38.0,-121.875,9.104459
78,38.0,-121.25,6.817194
79,38.0,-120.625,4.468724
80,38.0,-120.0,4.508495
81,38.0,-119.375,5.3366446
82,38.0,-118.75,5.6916122
83,38.5,-123.125,8.800406
84,38.5,-122.5,6.921745
85,38.5,-121.875,8.237582
86,38.5,-121.25,7.132461
87,38.5,-120.625,5.3464775
88,38.5,-120.0,5.656012
89,38.5,-119.375,5.894112
90,39.0,-123.125,5.926908
91,39.0,-122.5,6.080078
92,39.0,-121.875,7.51631
93,39.0,-121.25,7.865894
94,39.0,-120.625,6.1096177
95,39.5,-123.75,6.9159617
96,39.5,-123.125,4.4027214
97,39.5,-122.5,5.74511
98,39.5,-121.875,8.354088
99,39.5,-121.25,7.206516
100,39.5,-120.625,5.6509323
101,40.0,-123.75,5.492769
102,40.0,-123.125,3.936824
103,40.0,-122.5,5.03632
104,40.0,-121.875,8.8574505
105,40.0,-121.25,5.767094
106,40.0,-120.625,5.110596
107,40.0,-120.0,5.1331506
108,40.5,-124.375,9.704139
109,40.5,-123.75,4.6047707
110,40.5,-123.125,3.9096634
111,40.5,-122.5,4.155794
112,40.5,-121.875,7.49423
113,40.5,-121.25,5.5516047
114,40.5,-120.625,4.6603465
115,40.5,-120.0,5.0610366
116,41.0,-123.75,3.6033156
117,41.0,-123.125,4.0555654
118,41.0,-122.5,4.7566514
119,41.0,-121.875,4.6673203
120,41.0,-121.25,5.3274384
121,41.0,-120.625,5.120539
122,41.0,-120.0,5.564447
123,41.5,-123.75,4.121929
124,41.5,-123.125,4.047478
125,41.5,-122.5,4.5466084
126,41.5,-121.875,4.754107
127,41.5,-121.25,5.045115
128,41.5,-120.625,4.948713
129,41.5,-120.0,4.9778423
130,42.0,-123.125,4.010756
131,42.0,-122.5,4.319631
132,42.0,-121.875,4.98808
