,lat,lon,SPEEDLML
0,33.0,-116.875,4.187895
1,33.0,-116.25,4.132789
2,33.0,-115.625,7.5392995
3,33.0,-115.0,9.834713
4,33.5,-117.5,3.7955048
5,33.5,-116.875,3.436551
6,33.5,-116.25,5.7103195
7,33.5,-115.625,8.859944
8,33.5,-115.0,10.63024
9,34.0,-118.125,5.2368765
10,34.0,-117.5,6.134426
11,34.0,-116.875,6.546884
12,34.0,-116.25,8.472676
13,34.0,-115.625,8.509446
14,34.0,-115.0,10.163025
15,34.5,-120.0,5.4128857
16,34.5,-119.375,4.016722
17,34.5,-118.75,3.654707
18,34.5,-118.125,5.8774204
19,34.5,-117.5,6.3513417
20,34.5,-116.875,6.918224
21,34.5,-116.25,7.9528484
22,34.5,-115.625,7.7497535
23,34.5,-115.0,9.929017
24,35.0,-120.625,7.1989
25,35.0,-120.0,5.9684167
26,35.0,-119.375,4.2568736
27,35.0,-118.75,2.347655
28,35.0,-118.125,3.9867306
29,35.0,-117.5,5.336984
30,35.0,-116.875,6.160069
31,35.0,-116.25,6.5594254
32,35.0,-115.625,9.214959
33,35.0,-115.0,11.62408
34,35.5,-120.625,5.658447
35,35.5,-120.0,4.459345
36,35.5,-119.375,3.3519971
37,35.5,-118.75,2.321751
38,35.5,-118.125,2.5900946
39,35.5,-117.5,4.5677676
40,35.5,-116.875,6.078156
41,35.5,-116.25,6.067056
42,35.5,-115.625,6.4438076
43,36.0,-121.25,4.113359
44,36.0,-120.625,4.6271405
45,36.0,-120.0,3.9889705
46,36.0,-119.375,3.8517
47,36.0,-118.75,3.1528327
48,36.0,-118.125,3.855652
49,36.0,-117.5,5.0605626
50,36.0,-116.875,5.085659
51,36.0,-116.25,5.977131
52,36.5,-121.875,3.4187787
53,36.5,-121.25,3.2287185
54,36.5,-120.625,4.5704627
55,36.5,-120.0,4.6284385
56,36.5,-119.375,3.9722042
57,36.5,-118.75,3.9904604
58,36.5,-118.125,4.3289123
59,36.5,-117.5,3.7201488
60,36.5,-116.875,4.687321
61,37.0,-121.875,3.495608
62,37.0,-121.25,3.7041686
63,37.0,-120.625,4.5591087
64,37.0,-120.0,4.3569145
65,37.0,-119.375,5.01995
66,37.0,-118.75,5.927654
67,37.0,-118.125,4.366134
68,37.0,-117.5,6.438151
69,37.5,-121.875,4.061312
70,37.5,-121.25,5.578049
71,37.5,-120.625,4.864757
72,37.5,-120.0,4.2476106
73,37.5,-119.375,6.1141524
74,37.5,-118.75,5.5332947
75,37.5,-118.125,6.4681344
76,38.0,-122.5,3.796244
77,38.0,-121.875,4.732156
78,38.0,-121.25,4.9222603
79,38.0,-120.625,5.3028016
80,38.0,-120.0,6.037102
81,38.0,-119.375,6.698923
82,38.0,-118.75,5.335148
83,38.5,-123.125,4.0708203
84,38.5,-122.5,5.1021934
85,38.5,-121.875,6.757296
86,38.5,-121.25,4.7413745
87,38.5,-120.625,5.9155374
88,38.5,-120.0,6.075875
89,38.5,-119.375,4.0613675
90,39.0,-123.125,3.1836436
91,39.0,-122.5,6.45427
92,39.0,-121.875,7.831904
93,39.0,-121.25,5.086088
94,39.0,-120.625,5.7288575
95,39.5,-123.75,6.925472
96,39.5,-123.125,3.3333676
97,39.5,-122.5,6.903294
98,39.5,-121.875,6.7968974
99,39.5,-121.25,6.121996
100,39.5,-120.625,5.551719
101,40.0,-123.75,5.69652
102,40.0,-123.125,3.960077
103,40.0,-122.5,9.488881
104,40.0,-121.875,7.6108365
105,40.0,-121.25,5.8009133
106,40.0,-120.625,4.1805058
107,40.0,-120.0,3.331281
108,40.5,-124.375,9.512515
109,40.5,-123.75,4.6685157
110,40.5,-123.125,3.9703693
111,40.5,-122.5,4.9941664
112,40.5,-121.875,6.895296
113,40.5,-121.25,4.899385
114,40.5,-120.625,3.7929595
115,40.5,-120.0,3.611542
116,41.0,-123.75,3.2575457
117,41.0,-123.125,3.7920907
118,41.0,-122.5,5.2592907
119,41.0,-121.875,4.9602304
120,41.0,-121.25,3.703269
121,41.0,-120.625,3.8130798
122,41.0,-120.0,4.883633
123,41.5,-123.75,3.3929474
124,41.5,-123.125,2.6687276
125,41.5,-122.5,3.3006032
126,41.5,-121.875,4.443172
127,41.5,-121.25,4.2108164
128,41.5,-120.625,3.4287665
129,41.5,-120.0,4.544285
130,42.0,-123.125,2.4199235
131,42.0,-122.5,2.7004611
132,42.0,-121.875,3.2290268
