,lat,lon,SPEEDLML
0,33.0,-116.875,4.3376136
1,33.0,-116.25,4.7460423
2,33.0,-115.625,3.958376
3,33.0,-115.0,4.3975387
4,33.5,-117.5,3.4554596
5,33.5,-116.875,3.6267483
6,33.5,-116.25,3.460045
7,33.5,-115.625,4.0379977
8,33.5,-115.0,4.069087
9,34.0,-118.125,3.143096
10,34.0,-117.5,3.1577787
11,34.0,-116.875,3.4880054
12,34.0,-116.25,4.44459
13,34.0,-115.625,4.942476
14,34.0,-115.0,4.059117
15,34.5,-120.0,4.120813
16,34.5,-119.375,3.6182382
17,34.5,-118.75,3.8436778
18,34.5,-118.125,5.1730456
19,34.5,-117.5,5.66935
20,34.5,-116.875,6.347803
21,34.5,-116.25,6.8057113
22,34.5,-115.625,5.484451
23,34.5,-115.0,4.7764635
24,35.0,-120.625,3.5497057
25,35.0,-120.0,4.4273515
26,35.0,-119.375,3.699628
27,35.0,-118.75,3.458267
28,35.0,-118.125,6.40817
29,35.0,-117.5,7.316911
30,35.0,-116.875,7.4267545
31,35.0,-116.25,6.6825175
32,35.0,-115.625,5.8402076
33,35.0,-115.0,6.580935
34,35.5,-120.625,4.2500753
35,35.5,-120.0,5.777678
36,35.5,-119.375,4.383682
37,35.5,-118.75,4.264399
38,35.5,-118.125,6.373958
39,35.5,-117.5,6.619097
40,35.5,-116.875,7.135593
41,35.5,-116.25,7.5431137
42,35.5,-115.625,7.341391
43,36.0,-121.25,4.2254024
44,36.0,-120.625,4.852501
45,36.0,-120.0,5.3087745
46,36.0,-119.375,4.084809
47,36.0,-118.75,3.5856998
48,36.0,-118.125,5.106588
49,36.0,-117.5,5.439222
50,36.0,-116.875,5.934254
51,36.0,-116.25,7.889452
52,36.5,-121.875,3.484417
53,36.5,-121.25,4.284228
54,36.5,-120.625,4.3773494
55,36.5,-120.0,3.9980886
56,36.5,-119.375,3.7153256
57,36.5,-118.75,3.2140388
58,36.5,-118.125,3.8244438
59,36.5,-117.5,4.966042
60,36.5,-116.875,6.1351886
61,37.0,-121.875,3.4545279
62,37.0,-121.25,6.151119
63,37.0,-120.625,5.9715905
64,37.0,-120.0,3.8544338
65,37.0,-119.375,3.504961
66,37.0,-118.75,3.3743687
67,37.0,-118.125,4.0589633
68,37.0,-117.5,5.13674
69,37.5,-121.875,6.162838
70,37.5,-121.25,6.2639117
71,37.5,-120.625,4.9611406
72,37.5,-120.0,4.3343177
73,37.5,-119.375,3.6202326
74,37.5,-118.75,4.298728
75,37.5,-118.125,4.31266
76,38.0,-122.5,6.132811
77,38.0,-121.875,7.9754066
78,38.0,-121.25,5.898712
79,38.0,-120.625,4.089365
80,38.0,-120.0,3.971671
81,38.0,-119.375,4.3653083
82,38.0,-118.75,5.17785
83,38.5,-123.125,9.271138
84,38.5,-122.5,5.1648836
85,38.5,-121.875,6.078949
86,38.5,-121.25,5.5186787
87,38.5,-120.625,4.459637
88,38.5,-120.0,4.510511
89,38.5,-119.375,4.8795075
90,39.0,-123.125,5.9013925
91,39.0,-122.5,4.8899107
92,39.0,-121.875,4.475002
93,39.0,-121.25,5.8285413
94,39.0,-120.625,4.262755
95,39.5,-123.75,7.252807
96,39.5,-123.125,4.618124
97,39.5,-122.5,5.1343713
98,39.5,-121.875,4.049767
99,39.5,-121.25,4.7712526
100,39.5,-120.625,3.5875685
101,40.0,-123.75,6.0805073
102,40.0,-123.125,4.1975236
103,40.0,-122.5,5.6224494
104,40.0,-121.875,3.8222091
105,40.0,-121.25,3.747031
106,40.0,-120.625,3.800291
107,40.0,-120.0,4.8930364
108,40.5,-124.375,9.325923
109,40.5,-123.75,5.041193
110,40.5,-123.125,4.4703274
111,40.5,-122.5,5.0048027
112,40.5,-121.875,4.9541383
113,40.5,-121.25,4.1445994
114,40.5,-120.625,4.1159644
115,40.5,-120.0,4.8986526
116,41.0,-123.75,3.5998561
117,41.0,-123.125,3.9962683
118,41.0,-122.5,4.656966
119,41.0,-121.875,4.5449653
120,41.0,-121.25,3.6386995
121,41.0,-120.625,4.0193
122,41.0,-120.0,4.859142
123,41.5,-123.75,4.0131965
124,41.5,-123.125,3.5219524
125,41.5,-122.5,3.724487
126,41.5,-121.875,4.4508333
127,41.5,-121.25,4.4549994
128,41.5,-120.625,3.974743
129,41.5,-120.0,4.180677
130,42.0,-123.125,3.6499522
131,42.0,-122.5,3.7603261
132,42.0,-121.875,4.193891
