lat,lon,time,spatial_ref,precipitation
32.55,-114.649994,2017-02-01 00:00:00,0,0.0
32.55,-114.549995,2017-02-01 00:00:00,0,0.0
32.55,-114.45,2017-02-01 00:00:00,0,0.0
32.55,-114.35,2017-02-01 00:00:00,0,0.0
32.55,-114.25,2017-02-01 00:00:00,0,0.0
32.649998,-124.35,2017-02-01 00:00:00,0,0.0
32.649998,-124.25,2017-02-01 00:00:00,0,0.0
32.649998,-124.149994,2017-02-01 00:00:00,0,0.0
32.649998,-124.049995,2017-02-01 00:00:00,0,0.0
32.649998,-123.95,2017-02-01 00:00:00,0,0.0
32.649998,-123.85,2017-02-01 00:00:00,0,0.0
32.649998,-123.75,2017-02-01 00:00:00,0,0.0
32.649998,-123.649994,2017-02-01 00:00:00,0,0.0
32.649998,-123.549995,2017-02-01 00:00:00,0,0.0
32.649998,-123.45,2017-02-01 00:00:00,0,0.0
32.649998,-123.35,2017-02-01 00:00:00,0,0.0
32.649998,-123.25,2017-02-01 00:00:00,0,0.0
32.649998,-123.149994,2017-02-01 00:00:00,0,0.0
32.649998,-123.049995,2017-02-01 00:00:00,0,0.0
32.649998,-122.95,2017-02-01 00:00:00,0,0.0
32.649998,-122.85,2017-02-01 00:00:00,0,0.0
32.649998,-122.75,2017-02-01 00:00:00,0,0.0
32.649998,-122.649994,2017-02-01 00:00:00,0,0.0
32.649998,-122.549995,2017-02-01 00:00:00,0,0.0
32.649998,-122.45,2017-02-01 00:00:00,0,0.0
32.649998,-122.35,2017-02-01 00:00:00,0,0.0
32.649998,-122.25,2017-02-01 00:00:00,0,0.0
32.649998,-122.149994,2017-02-01 00:00:00,0,0.0
32.649998,-122.049995,2017-02-01 00:00:00,0,0.0
32.649998,-121.95,2017-02-01 00:00:00,0,0.0
32.649998,-121.85,2017-02-01 00:00:00,0,0.0
32.649998,-121.75,2017-02-01 00:00:00,0,0.0
32.649998,-121.649994,2017-02-01 00:00:00,0,0.0
32.649998,-121.549995,2017-02-01 00:00:00,0,0.0
32.649998,-121.45,2017-02-01 00:00:00,0,0.0
32.649998,-121.35,2017-02-01 00:00:00,0,0.0
32.649998,-121.25,2017-02-01 00:00:00,0,0.0
32.649998,-121.149994,2017-02-01 00:00:00,0,0.0
32.649998,-121.049995,2017-02-01 00:00:00,0,0.0
32.649998,-120.95,2017-02-01 00:00:00,0,0.0
32.649998,-120.85,2017-02-01 00:00:00,0,0.0
32.649998,-120.75,2017-02-01 00:00:00,0,0.0
32.649998,-120.649994,2017-02-01 00:00:00,0,0.0
32.649998,-120.549995,2017-02-01 00:00:00,0,0.0
32.649998,-120.45,2017-02-01 00:00:00,0,0.0
32.649998,-120.35,2017-02-01 00:00:00,0,0.0
32.649998,-120.25,2017-02-01 00:00:00,0,0.0
32.649998,-120.149994,2017-02-01 00:00:00,0,0.0
32.649998,-120.049995,2017-02-01 00:00:00,0,0.0
32.649998,-119.95,2017-02-01 00:00:00,0,0.0
32.649998,-119.85,2017-02-01 00:00:00,0,0.0
32.649998,-119.75,2017-02-01 00:00:00,0,0.0
32.649998,-119.649994,2017-02-01 00:00:00,0,0.0
32.649998,-119.549995,2017-02-01 00:00:00,0,0.0
32.649998,-119.45,2017-02-01 00:00:00,0,0.0
32.649998,-119.35,2017-02-01 00:00:00,0,0.0
32.649998,-119.25,2017-02-01 00:00:00,0,0.0
32.649998,-119.149994,2017-02-01 00:00:00,0,0.0
32.649998,-119.049995,2017-02-01 00:00:00,0,0.0
32.649998,-118.95,2017-02-01 00:00:00,0,0.0
32.649998,-118.85,2017-02-01 00:00:00,0,0.0
32.649998,-118.75,2017-02-01 00:00:00,0,0.0
32.649998,-118.649994,2017-02-01 00:00:00,0,0.0
32.649998,-118.549995,2017-02-01 00:00:00,0,0.0
32.649998,-118.45,2017-02-01 00:00:00,0,0.0
32.649998,-118.35,2017-02-01 00:00:00,0,0.0
32.649998,-118.25,2017-02-01 00:00:00,0,0.0
32.649998,-118.149994,2017-02-01 00:00:00,0,0.0
32.649998,-118.049995,2017-02-01 00:00:00,0,0.0
32.649998,-117.95,2017-02-01 00:00:00,0,0.0
32.649998,-117.85,2017-02-01 00:00:00,0,0.0
32.649998,-117.75,2017-02-01 00:00:00,0,0.0
32.649998,-117.649994,2017-02-01 00:00:00,0,0.0
