,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,year,geometry,OBJECTID,COUNTY_NAME,COUNTY_ABBREV,COUNTY_NUM,COUNTY_CODE,COUNTY_FIPS,ISLAND,GlobalID,SHAPE_Length,SHAPE_Area
83,37.9003,-120.3629,300.6,1.1,1.0,2010-01-04,2121,Aqua,MODIS,40,6.03,290.1,4.4,D,0,2010,POINT (-120.3629 37.9003),55,Tuolumne,TUO,55,55,109,,{459450DA-AFC0-4845-9007-2216BD515717},5.18807618118547,0.6053069046751758
4549,37.8744,-120.216,304.4,1.2,1.1,2010-02-18,1909,Terra,MODIS,59,6.03,288.1,8.5,D,0,2010,POINT (-120.216 37.8744),55,Tuolumne,TUO,55,55,109,,{459450DA-AFC0-4845-9007-2216BD515717},5.18807618118547,0.6053069046751758
4550,37.8721,-120.2031,315.5,1.2,1.1,2010-02-18,1909,Terra,MODIS,72,6.03,289.6,18.6,D,0,2010,POINT (-120.2031 37.8721),55,Tuolumne,TUO,55,55,109,,{459450DA-AFC0-4845-9007-2216BD515717},5.18807618118547,0.6053069046751758
4805,37.873,-120.2086,305.0,1.6,1.2,2010-02-18,2050,Aqua,MODIS,60,6.03,287.6,12.1,D,0,2010,POINT (-120.2086 37.873),55,Tuolumne,TUO,55,55,109,,{459450DA-AFC0-4845-9007-2216BD515717},5.18807618118547,0.6053069046751758
14116,37.998,-120.4452,306.3,1.0,1.0,2010-03-18,2114,Aqua,MODIS,56,6.03,295.8,4.2,D,0,2010,POINT (-120.4452 37.998),55,Tuolumne,TUO,55,55,109,,{459450DA-AFC0-4845-9007-2216BD515717},5.18807618118547,0.6053069046751758
31362,37.9787,-120.4099,304.0,1.0,1.0,2010-04-16,1903,Terra,MODIS,43,6.03,291.6,3.3,D,0,2010,POINT (-120.4099 37.9787),55,Tuolumne,TUO,55,55,109,,{459450DA-AFC0-4845-9007-2216BD515717},5.18807618118547,0.6053069046751758
44159,37.9766,-120.3587,300.9,2.2,1.4,2010-06-07,637,Terra,MODIS,36,6.03,288.4,15.3,N,2,2010,POINT (-120.3587 37.9766),55,Tuolumne,TUO,55,55,109,,{459450DA-AFC0-4845-9007-2216BD515717},5.18807618118547,0.6053069046751758
49855,37.8224,-119.8529,304.1,1.3,1.1,2010-07-01,548,Terra,MODIS,59,6.03,286.7,11.0,N,0,2010,POINT (-119.8529 37.8224),55,Tuolumne,TUO,55,55,109,,{459450DA-AFC0-4845-9007-2216BD515717},5.18807618118547,0.6053069046751758
49874,37.7704,-119.8323,311.6,1.0,1.0,2010-07-01,1004,Aqua,MODIS,83,6.03,287.2,13.4,N,0,2010,POINT (-119.8323 37.7704),55,Tuolumne,TUO,55,55,109,,{459450DA-AFC0-4845-9007-2216BD515717},5.18807618118547,0.6053069046751758
51075,37.7202,-120.451,328.5,3.1,1.7,2010-07-07,2031,Aqua,MODIS,0,6.03,308.0,55.8,D,0,2010,POINT (-120.451 37.7202),55,Tuolumne,TUO,55,55,109,,{459450DA-AFC0-4845-9007-2216BD515717},5.18807618118547,0.6053069046751758
55271,37.9112,-119.6798,306.3,1.1,1.1,2010-07-29,613,Terra,MODIS,60,6.03,289.3,10.1,N,0,2010,POINT (-119.6798 37.9112),55,Tuolumne,TUO,55,55,109,,{459450DA-AFC0-4845-9007-2216BD515717},5.18807618118547,0.6053069046751758
55713,37.9137,-119.6807,305.8,1.0,1.0,2010-07-31,600,Terra,MODIS,53,6.03,290.2,8.1,N,0,2010,POINT (-119.6807 37.9137),55,Tuolumne,TUO,55,55,109,,{459450DA-AFC0-4845-9007-2216BD515717},5.18807618118547,0.6053069046751758
56050,37.9084,-119.6779,308.3,1.2,1.1,2010-08-02,548,Terra,MODIS,54,6.03,288.4,13.2,N,0,2010,POINT (-119.6779 37.9084),55,Tuolumne,TUO,55,55,109,,{459450DA-AFC0-4845-9007-2216BD515717},5.18807618118547,0.6053069046751758
56524,37.9163,-119.6854,320.5,1.5,1.2,2010-08-03,1832,Terra,MODIS,28,6.03,303.1,20.0,D,0,2010,POINT (-119.6854 37.9163),55,Tuolumne,TUO,55,55,109,,{459450DA-AFC0-4845-9007-2216BD515717},5.18807618118547,0.6053069046751758
56700,37.9126,-119.6754,313.1,1.8,1.3,2010-08-04,536,Terra,MODIS,67,6.03,291.0,30.0,N,0,2010,POINT (-119.6754 37.9126),55,Tuolumne,TUO,55,55,109,,{459450DA-AFC0-4845-9007-2216BD515717},5.18807618118547,0.6053069046751758
