,lat,lon,TLML
0,33.0,-116.875,288.98477
1,33.0,-116.25,293.0308
2,33.0,-115.625,299.34302
3,33.0,-115.0,299.9637
4,33.5,-117.5,291.02463
5,33.5,-116.875,288.4913
6,33.5,-116.25,295.05026
7,33.5,-115.625,297.9182
8,33.5,-115.0,300.06198
9,34.0,-118.125,290.19464
10,34.0,-117.5,290.40225
11,34.0,-116.875,288.65814
12,34.0,-116.25,292.9471
13,34.0,-115.625,298.52628
14,34.0,-115.0,301.8963
15,34.5,-120.0,289.42108
16,34.5,-119.375,289.42657
17,34.5,-118.75,290.9938
18,34.5,-118.125,290.43024
19,34.5,-117.5,290.30862
20,34.5,-116.875,290.78574
21,34.5,-116.25,295.89175
22,34.5,-115.625,300.18115
23,34.5,-115.0,301.1763
24,35.0,-120.625,289.08725
25,35.0,-120.0,288.83768
26,35.0,-119.375,291.8874
27,35.0,-118.75,291.74576
28,35.0,-118.125,291.38535
29,35.0,-117.5,293.18042
30,35.0,-116.875,294.55075
31,35.0,-116.25,298.3753
32,35.0,-115.625,296.68442
33,35.0,-115.0,299.42236
34,35.5,-120.625,289.17215
35,35.5,-120.0,290.87894
36,35.5,-119.375,294.27902
37,35.5,-118.75,290.57687
38,35.5,-118.125,288.80075
39,35.5,-117.5,294.16348
40,35.5,-116.875,295.5593
41,35.5,-116.25,298.1246
42,35.5,-115.625,295.92365
43,36.0,-121.25,288.7985
44,36.0,-120.625,291.07846
45,36.0,-120.0,294.3582
46,36.0,-119.375,295.2558
47,36.0,-118.75,288.2507
48,36.0,-118.125,286.1367
49,36.0,-117.5,294.36035
50,36.0,-116.875,297.51413
51,36.0,-116.25,298.33228
52,36.5,-121.875,289.0159
53,36.5,-121.25,289.3251
54,36.5,-120.625,292.85318
55,36.5,-120.0,296.05014
56,36.5,-119.375,295.82358
57,36.5,-118.75,285.1005
58,36.5,-118.125,284.98578
59,36.5,-117.5,296.75064
60,36.5,-116.875,298.6276
61,37.0,-121.875,288.54053
62,37.0,-121.25,290.43616
63,37.0,-120.625,293.77542
64,37.0,-120.0,294.93863
65,37.0,-119.375,290.44278
66,37.0,-118.75,281.07144
67,37.0,-118.125,287.57736
68,37.0,-117.5,296.00653
69,37.5,-121.875,288.5944
70,37.5,-121.25,291.32626
71,37.5,-120.625,294.16824
72,37.5,-120.0,291.66547
73,37.5,-119.375,283.7167
74,37.5,-118.75,281.45203
75,37.5,-118.125,288.8679
76,38.0,-122.5,288.45483
77,38.0,-121.875,289.04443
78,38.0,-121.25,291.93948
79,38.0,-120.625,292.0808
80,38.0,-120.0,287.48117
81,38.0,-119.375,281.5675
82,38.0,-118.75,284.4408
83,38.5,-123.125,288.16107
84,38.5,-122.5,289.16446
85,38.5,-121.875,290.85617
86,38.5,-121.25,291.97757
87,38.5,-120.625,289.99698
88,38.5,-120.0,284.97025
89,38.5,-119.375,284.04782
90,39.0,-123.125,290.1436
91,39.0,-122.5,292.47632
92,39.0,-121.875,293.4631
93,39.0,-121.25,292.49652
94,39.0,-120.625,288.07803
95,39.5,-123.75,288.1866
96,39.5,-123.125,290.49786
97,39.5,-122.5,294.7499
98,39.5,-121.875,294.9259
99,39.5,-121.25,291.07706
100,39.5,-120.625,286.61465
101,40.0,-123.75,288.92032
102,40.0,-123.125,289.89322
103,40.0,-122.5,295.48892
104,40.0,-121.875,293.40405
105,40.0,-121.25,287.7252
106,40.0,-120.625,286.08713
107,40.0,-120.0,287.31516
108,40.5,-124.375,287.8546
109,40.5,-123.75,289.53647
110,40.5,-123.125,290.8756
111,40.5,-122.5,294.8957
112,40.5,-121.875,291.1976
113,40.5,-121.25,286.78226
114,40.5,-120.625,288.0663
115,40.5,-120.0,289.90036
116,41.0,-123.75,289.1406
117,41.0,-123.125,289.47952
118,41.0,-122.5,290.91742
119,41.0,-121.875,290.80447
120,41.0,-121.25,289.54214
121,41.0,-120.625,288.35693
122,41.0,-120.0,288.6489
123,41.5,-123.75,289.84268
124,41.5,-123.125,289.76065
125,41.5,-122.5,289.13687
126,41.5,-121.875,288.4238
127,41.5,-121.25,289.31357
128,41.5,-120.625,289.4416
129,41.5,-120.0,288.75986
130,42.0,-123.125,290.80176
131,42.0,-122.5,290.42902
132,42.0,-121.875,290.04028
