,lat,lon,TLML
0,33.0,-116.875,291.5809
1,33.0,-116.25,296.94846
2,33.0,-115.625,302.9091
3,33.0,-115.0,304.053
4,33.5,-117.5,291.90335
5,33.5,-116.875,291.42834
6,33.5,-116.25,299.04462
7,33.5,-115.625,301.99286
8,33.5,-115.0,304.33997
9,34.0,-118.125,291.7841
10,34.0,-117.5,292.57675
11,34.0,-116.875,293.09085
12,34.0,-116.25,297.38333
13,34.0,-115.625,301.71902
14,34.0,-115.0,304.9111
15,34.5,-120.0,291.54416
16,34.5,-119.375,292.19373
17,34.5,-118.75,293.47018
18,34.5,-118.125,292.953
19,34.5,-117.5,293.66916
20,34.5,-116.875,294.6458
21,34.5,-116.25,298.72885
22,34.5,-115.625,302.25772
23,34.5,-115.0,303.69604
24,35.0,-120.625,290.82205
25,35.0,-120.0,292.6641
26,35.0,-119.375,295.68973
27,35.0,-118.75,295.5679
28,35.0,-118.125,295.44492
29,35.0,-117.5,296.10156
30,35.0,-116.875,296.90106
31,35.0,-116.25,299.98834
32,35.0,-115.625,298.46573
33,35.0,-115.0,301.45758
34,35.5,-120.625,291.5079
35,35.5,-120.0,294.30203
36,35.5,-119.375,298.1923
37,35.5,-118.75,294.9863
38,35.5,-118.125,294.50748
39,35.5,-117.5,298.53415
40,35.5,-116.875,298.44363
41,35.5,-116.25,299.95746
42,35.5,-115.625,298.19437
43,36.0,-121.25,292.25204
44,36.0,-120.625,294.74716
45,36.0,-120.0,297.31012
46,36.0,-119.375,298.50797
47,36.0,-118.75,294.49234
48,36.0,-118.125,291.03165
49,36.0,-117.5,297.59418
50,36.0,-116.875,300.32736
51,36.0,-116.25,300.53995
52,36.5,-121.875,290.2482
53,36.5,-121.25,292.9094
54,36.5,-120.625,296.9125
55,36.5,-120.0,299.83456
56,36.5,-119.375,299.4922
57,36.5,-118.75,291.46902
58,36.5,-118.125,288.66205
59,36.5,-117.5,298.31836
60,36.5,-116.875,300.72433
61,37.0,-121.875,290.84494
62,37.0,-121.25,293.84042
63,37.0,-120.625,297.6231
64,37.0,-120.0,299.4473
65,37.0,-119.375,295.6403
66,37.0,-118.75,285.59818
67,37.0,-118.125,289.9825
68,37.0,-117.5,295.88043
69,37.5,-121.875,291.3183
70,37.5,-121.25,295.5732
71,37.5,-120.625,298.54984
72,37.5,-120.0,296.77347
73,37.5,-119.375,287.7819
74,37.5,-118.75,284.80118
75,37.5,-118.125,289.41983
76,38.0,-122.5,289.6279
77,38.0,-121.875,291.76358
78,38.0,-121.25,295.57742
79,38.0,-120.625,296.56284
80,38.0,-120.0,291.77316
81,38.0,-119.375,284.58884
82,38.0,-118.75,286.538
83,38.5,-123.125,289.94366
84,38.5,-122.5,291.66507
85,38.5,-121.875,293.82114
86,38.5,-121.25,295.98337
87,38.5,-120.625,294.74203
88,38.5,-120.0,288.66956
89,38.5,-119.375,286.467
90,39.0,-123.125,293.0945
91,39.0,-122.5,296.2475
92,39.0,-121.875,297.05386
93,39.0,-121.25,297.3099
94,39.0,-120.625,293.7064
95,39.5,-123.75,290.62424
96,39.5,-123.125,293.78598
97,39.5,-122.5,299.3801
98,39.5,-121.875,299.30777
99,39.5,-121.25,296.70297
100,39.5,-120.625,291.8176
101,40.0,-123.75,291.74863
102,40.0,-123.125,293.27307
103,40.0,-122.5,300.31876
104,40.0,-121.875,299.35526
105,40.0,-121.25,293.56882
106,40.0,-120.625,291.72916
107,40.0,-120.0,290.32785
108,40.5,-124.375,288.49197
109,40.5,-123.75,291.0398
110,40.5,-123.125,293.55472
111,40.5,-122.5,299.42877
112,40.5,-121.875,297.08148
113,40.5,-121.25,291.43234
114,40.5,-120.625,291.57864
115,40.5,-120.0,290.1872
116,41.0,-123.75,290.77545
117,41.0,-123.125,292.40707
118,41.0,-122.5,295.3632
119,41.0,-121.875,295.77335
120,41.0,-121.25,293.80838
121,41.0,-120.625,291.33008
122,41.0,-120.0,289.65167
123,41.5,-123.75,291.27838
124,41.5,-123.125,292.13196
125,41.5,-122.5,292.85168
126,41.5,-121.875,291.96066
127,41.5,-121.25,292.6076
128,41.5,-120.625,291.74832
129,41.5,-120.0,290.15848
130,42.0,-123.125,292.0463
131,42.0,-122.5,291.95728
132,42.0,-121.875,291.58102
