,lat,lon,TLML
0,33.0,-116.875,290.48697
1,33.0,-116.25,296.04263
2,33.0,-115.625,302.3195
3,33.0,-115.0,302.60193
4,33.5,-117.5,291.7045
5,33.5,-116.875,291.17123
6,33.5,-116.25,299.35104
7,33.5,-115.625,302.06345
8,33.5,-115.0,302.89438
9,34.0,-118.125,291.55203
10,34.0,-117.5,291.46402
11,34.0,-116.875,292.26364
12,34.0,-116.25,298.75797
13,34.0,-115.625,302.97513
14,34.0,-115.0,304.52368
15,34.5,-120.0,291.52536
16,34.5,-119.375,290.2969
17,34.5,-118.75,291.21616
18,34.5,-118.125,291.61835
19,34.5,-117.5,292.74286
20,34.5,-116.875,294.27066
21,34.5,-116.25,299.22095
22,34.5,-115.625,303.11728
23,34.5,-115.0,303.54877
24,35.0,-120.625,290.69992
25,35.0,-120.0,291.21387
26,35.0,-119.375,293.1712
27,35.0,-118.75,294.00632
28,35.0,-118.125,293.75058
29,35.0,-117.5,295.00766
30,35.0,-116.875,296.7086
31,35.0,-116.25,300.38168
32,35.0,-115.625,299.30704
33,35.0,-115.0,301.29562
34,35.5,-120.625,291.5522
35,35.5,-120.0,293.29242
36,35.5,-119.375,296.8748
37,35.5,-118.75,293.23636
38,35.5,-118.125,293.59155
39,35.5,-117.5,297.3254
40,35.5,-116.875,297.74127
41,35.5,-116.25,300.2199
42,35.5,-115.625,298.34314
43,36.0,-121.25,290.79773
44,36.0,-120.625,293.47748
45,36.0,-120.0,296.4534
46,36.0,-119.375,298.13995
47,36.0,-118.75,291.78745
48,36.0,-118.125,290.37646
49,36.0,-117.5,296.89133
50,36.0,-116.875,299.9295
51,36.0,-116.25,300.64505
52,36.5,-121.875,289.97623
53,36.5,-121.25,289.90848
54,36.5,-120.625,293.73962
55,36.5,-120.0,297.14172
56,36.5,-119.375,298.4319
57,36.5,-118.75,288.58902
58,36.5,-118.125,288.45316
59,36.5,-117.5,298.85635
60,36.5,-116.875,300.8467
61,37.0,-121.875,289.3603
62,37.0,-121.25,290.8944
63,37.0,-120.625,294.53653
64,37.0,-120.0,296.71848
65,37.0,-119.375,293.6606
66,37.0,-118.75,283.58582
67,37.0,-118.125,290.11505
68,37.0,-117.5,297.80078
69,37.5,-121.875,289.14224
70,37.5,-121.25,291.7562
71,37.5,-120.625,294.85135
72,37.5,-120.0,293.73856
73,37.5,-119.375,285.21616
74,37.5,-118.75,284.6028
75,37.5,-118.125,292.03372
76,38.0,-122.5,289.34784
77,38.0,-121.875,290.2821
78,38.0,-121.25,292.51318
79,38.0,-120.625,292.83066
80,38.0,-120.0,289.07346
81,38.0,-119.375,282.62866
82,38.0,-118.75,288.0573
83,38.5,-123.125,289.19986
84,38.5,-122.5,290.51
85,38.5,-121.875,292.2117
86,38.5,-121.25,292.91318
87,38.5,-120.625,290.52356
88,38.5,-120.0,285.74826
89,38.5,-119.375,286.271
90,39.0,-123.125,288.8617
91,39.0,-122.5,291.5944
92,39.0,-121.875,293.88074
93,39.0,-121.25,292.84982
94,39.0,-120.625,288.37335
95,39.5,-123.75,288.64844
96,39.5,-123.125,287.5449
97,39.5,-122.5,293.33304
98,39.5,-121.875,295.2269
99,39.5,-121.25,291.62158
100,39.5,-120.625,286.9882
101,40.0,-123.75,287.65756
102,40.0,-123.125,286.50308
103,40.0,-122.5,294.4807
104,40.0,-121.875,294.02142
105,40.0,-121.25,287.64343
106,40.0,-120.625,287.08038
107,40.0,-120.0,289.40292
108,40.5,-124.375,288.2028
109,40.5,-123.75,285.92514
110,40.5,-123.125,286.4072
111,40.5,-122.5,293.83527
112,40.5,-121.875,291.9399
113,40.5,-121.25,285.88406
114,40.5,-120.625,288.0977
115,40.5,-120.0,290.88663
116,41.0,-123.75,285.8389
117,41.0,-123.125,284.54156
118,41.0,-122.5,288.79977
119,41.0,-121.875,290.8074
120,41.0,-121.25,288.63373
121,41.0,-120.625,287.4273
122,41.0,-120.0,288.69446
123,41.5,-123.75,285.47733
124,41.5,-123.125,283.80704
125,41.5,-122.5,284.75327
126,41.5,-121.875,285.2476
127,41.5,-121.25,287.22644
128,41.5,-120.625,287.42325
129,41.5,-120.0,287.52548
130,42.0,-123.125,283.48306
131,42.0,-122.5,283.7242
132,42.0,-121.875,284.1346
