Unnamed: 0,lat,lon,Qair_f_inst
0,33.0,-116.875,0.007909455
1,33.0,-116.25,0.006153161
2,33.0,-115.625,0.0055893827
3,33.0,-115.0,0.0049731447
4,33.5,-117.5,0.008830824
5,33.5,-116.875,0.006544052
6,33.5,-116.25,0.004642892
7,33.5,-115.625,0.0041900985
8,33.5,-115.0,0.003926406
9,34.0,-118.125,0.007511021
10,34.0,-117.5,0.006234094
11,34.0,-116.875,0.004756408
12,34.0,-116.25,0.0037721787
13,34.0,-115.625,0.0034202542
14,34.0,-115.0,0.003184573
15,34.5,-120.0,0.007147375
16,34.5,-119.375,0.004360292
17,34.5,-118.75,0.0044329464
18,34.5,-118.125,0.0046307635
19,34.5,-117.5,0.0037733484
20,34.5,-116.875,0.003434468
21,34.5,-116.25,0.0032197896
22,34.5,-115.625,0.0030721175
23,34.5,-115.0,0.0029928451
24,35.0,-120.625,0.008392601
25,35.0,-120.0,0.0050350255
26,35.0,-119.375,0.004036192
27,35.0,-118.75,0.0038786102
28,35.0,-118.125,0.003512391
29,35.0,-117.5,0.0034018655
30,35.0,-116.875,0.0032780871
31,35.0,-116.25,0.0031520177
32,35.0,-115.625,0.0028015792
33,35.0,-115.0,0.002800273
34,35.5,-120.625,0.0075281356
35,35.5,-120.0,0.005595272
36,35.5,-119.375,0.0047270874
37,35.5,-118.75,0.0038536463
38,35.5,-118.125,0.003176462
39,35.5,-117.5,0.0029888882
40,35.5,-116.875,0.0030590903
41,35.5,-116.25,0.003007143
42,35.5,-115.625,0.0027483106
43,36.0,-121.25,0.0070532267
44,36.0,-120.625,0.0062450077
45,36.0,-120.0,0.005579351
46,36.0,-119.375,0.0051549138
47,36.0,-118.75,0.0033896228
48,36.0,-118.125,0.0029916272
49,36.0,-117.5,0.0028318707
50,36.0,-116.875,0.0028497279
51,36.0,-116.25,0.0028404929
52,36.5,-121.875,0.008890116
53,36.5,-121.25,0.0064702816
54,36.5,-120.625,0.005700243
55,36.5,-120.0,0.0054430193
56,36.5,-119.375,0.004522205
57,36.5,-118.75,0.003196141
58,36.5,-118.125,0.0028663296
59,36.5,-117.5,0.002826885
60,36.5,-116.875,0.0027558308
61,37.0,-121.875,0.008560434
62,37.0,-121.25,0.006850861
63,37.0,-120.625,0.0061377618
64,37.0,-120.0,0.00509683
65,37.0,-119.375,0.0038750041
66,37.0,-118.75,0.0029761102
67,37.0,-118.125,0.002763552
68,37.0,-117.5,0.002746594
69,37.5,-121.875,0.0077594505
70,37.5,-121.25,0.006769813
71,37.5,-120.625,0.0057284436
72,37.5,-120.0,0.0041564605
73,37.5,-119.375,0.0033374643
74,37.5,-118.75,0.0028577626
75,37.5,-118.125,0.0027834985
76,38.0,-122.5,0.0072359447
77,38.0,-121.875,0.007230155
78,38.0,-121.25,0.006730179
79,38.0,-120.625,0.0049750856
80,38.0,-120.0,0.003621146
81,38.0,-119.375,0.0029324365
82,38.0,-118.75,0.002728265
83,38.5,-123.125,0.006283693
84,38.5,-122.5,0.005605861
85,38.5,-121.875,0.00584309
86,38.5,-121.25,0.0059529007
87,38.5,-120.625,0.0044665234
88,38.5,-120.0,0.0034812668
89,38.5,-119.375,0.0028654085
90,39.0,-123.125,0.005074942
91,39.0,-122.5,0.005314601
92,39.0,-121.875,0.0054208282
93,39.0,-121.25,0.005216584
94,39.0,-120.625,0.0041326536
95,39.5,-123.75,0.006865931
96,39.5,-123.125,0.004631505
97,39.5,-122.5,0.005275125
98,39.5,-121.875,0.0049914876
99,39.5,-121.25,0.0047313985
100,39.5,-120.625,0.0039983955
101,40.0,-123.75,0.0066271215
102,40.0,-123.125,0.004983097
103,40.0,-122.5,0.0054118256
104,40.0,-121.875,0.0046990844
105,40.0,-121.25,0.00442177
106,40.0,-120.625,0.0040893904
107,40.0,-120.0,0.003820231
108,40.5,-124.375,0.0077887955
109,40.5,-123.75,0.006527521
110,40.5,-123.125,0.0053054313
111,40.5,-122.5,0.0054502687
112,40.5,-121.875,0.004411303
113,40.5,-121.25,0.0041892757
114,40.5,-120.625,0.004150086
115,40.5,-120.0,0.004071897
116,41.0,-123.75,0.006457349
117,41.0,-123.125,0.0052610133
118,41.0,-122.5,0.005200406
119,41.0,-121.875,0.004936732
120,41.0,-121.25,0.004654111
121,41.0,-120.625,0.004360885
122,41.0,-120.0,0.004129155
123,41.5,-123.75,0.0060727843
124,41.5,-123.125,0.005331848
125,41.5,-122.5,0.0051740347
126,41.5,-121.875,0.0048527685
127,41.5,-121.25,0.004767318
128,41.5,-120.625,0.0043945457
129,41.5,-120.0,0.004237495
130,42.0,-123.125,0.0056055677
131,42.0,-122.5,0.0052676685
132,42.0,-121.875,0.004989504
