Unnamed: 0,lat,lon,Qair_f_inst
0,33.0,-116.875,0.005695157
1,33.0,-116.25,0.0051984764
2,33.0,-115.625,0.005513219
3,33.0,-115.0,0.005096032
4,33.5,-117.5,0.0065491833
5,33.5,-116.875,0.005124966
6,33.5,-116.25,0.0046955487
7,33.5,-115.625,0.0045503764
8,33.5,-115.0,0.004240475
9,34.0,-118.125,0.005856758
10,34.0,-117.5,0.005318539
11,34.0,-116.875,0.0046039587
12,34.0,-116.25,0.004101411
13,34.0,-115.625,0.00407772
14,34.0,-115.0,0.0039027089
15,34.5,-120.0,0.006256061
16,34.5,-119.375,0.005696994
17,34.5,-118.75,0.005409084
18,34.5,-118.125,0.005067581
19,34.5,-117.5,0.00466832
20,34.5,-116.875,0.0043331333
21,34.5,-116.25,0.0043041394
22,34.5,-115.625,0.004117876
23,34.5,-115.0,0.003731069
24,35.0,-120.625,0.006320909
25,35.0,-120.0,0.005680915
26,35.0,-119.375,0.0057531744
27,35.0,-118.75,0.005464042
28,35.0,-118.125,0.004592885
29,35.0,-117.5,0.0043304795
30,35.0,-116.875,0.004293714
31,35.0,-116.25,0.0043681185
32,35.0,-115.625,0.0038688716
33,35.0,-115.0,0.0035014006
34,35.5,-120.625,0.0057372157
35,35.5,-120.0,0.005705787
36,35.5,-119.375,0.0063512246
37,35.5,-118.75,0.0053867693
38,35.5,-118.125,0.0037258498
39,35.5,-117.5,0.0034933628
40,35.5,-116.875,0.003695422
41,35.5,-116.25,0.0039300956
42,35.5,-115.625,0.0034050297
43,36.0,-121.25,0.0058292956
44,36.0,-120.625,0.005416775
45,36.0,-120.0,0.005677182
46,36.0,-119.375,0.006180361
47,36.0,-118.75,0.0043489747
48,36.0,-118.125,0.0031145976
49,36.0,-117.5,0.0029101663
50,36.0,-116.875,0.0029855275
51,36.0,-116.25,0.00315657
52,36.5,-121.875,0.0065927687
53,36.5,-121.25,0.005599063
54,36.5,-120.625,0.005358593
55,36.5,-120.0,0.0054738685
56,36.5,-119.375,0.004998924
57,36.5,-118.75,0.0036097278
58,36.5,-118.125,0.0030027556
59,36.5,-117.5,0.0028050009
60,36.5,-116.875,0.00253149
61,37.0,-121.875,0.005928693
62,37.0,-121.25,0.0054219277
63,37.0,-120.625,0.005110035
64,37.0,-120.0,0.004412365
65,37.0,-119.375,0.0036837782
66,37.0,-118.75,0.0028905252
67,37.0,-118.125,0.0030947088
68,37.0,-117.5,0.002569959
69,37.5,-121.875,0.0054192203
70,37.5,-121.25,0.00505127
71,37.5,-120.625,0.00423786
72,37.5,-120.0,0.0034469028
73,37.5,-119.375,0.0027228182
74,37.5,-118.75,0.0024942965
75,37.5,-118.125,0.0027422414
76,38.0,-122.5,0.0050854483
77,38.0,-121.875,0.0052388846
78,38.0,-121.25,0.0046548634
79,38.0,-120.625,0.0037306335
80,38.0,-120.0,0.002924016
81,38.0,-119.375,0.0022631206
82,38.0,-118.75,0.0026152402
83,38.5,-123.125,0.004656821
84,38.5,-122.5,0.0046368926
85,38.5,-121.875,0.004927099
86,38.5,-121.25,0.004326061
87,38.5,-120.625,0.0036636386
88,38.5,-120.0,0.0030952555
89,38.5,-119.375,0.002619122
90,39.0,-123.125,0.0040923594
91,39.0,-122.5,0.0045179636
92,39.0,-121.875,0.004796119
93,39.0,-121.25,0.00436422
94,39.0,-120.625,0.0038019149
95,39.5,-123.75,0.004523873
96,39.5,-123.125,0.0041754683
97,39.5,-122.5,0.00467175
98,39.5,-121.875,0.0047850967
99,39.5,-121.25,0.0042150295
100,39.5,-120.625,0.0038784181
101,40.0,-123.75,0.0044400403
102,40.0,-123.125,0.004343586
103,40.0,-122.5,0.004954474
104,40.0,-121.875,0.0047150576
105,40.0,-121.25,0.0039771637
106,40.0,-120.625,0.0038149133
107,40.0,-120.0,0.0035737464
108,40.5,-124.375,0.0052974657
109,40.5,-123.75,0.004606308
110,40.5,-123.125,0.004657808
111,40.5,-122.5,0.0050368374
112,40.5,-121.875,0.004384358
113,40.5,-121.25,0.003922072
114,40.5,-120.625,0.0037465405
115,40.5,-120.0,0.0036340354
116,41.0,-123.75,0.0049377526
117,41.0,-123.125,0.004586637
118,41.0,-122.5,0.0048457845
119,41.0,-121.875,0.00444445
120,41.0,-121.25,0.0038974332
121,41.0,-120.625,0.0036302295
122,41.0,-120.0,0.0034027298
123,41.5,-123.75,0.0049357796
124,41.5,-123.125,0.004467907
125,41.5,-122.5,0.004333673
126,41.5,-121.875,0.004148266
127,41.5,-121.25,0.003952933
128,41.5,-120.625,0.0035624094
129,41.5,-120.0,0.0032500075
130,42.0,-123.125,0.004518609
131,42.0,-122.5,0.004355028
132,42.0,-121.875,0.0039319717
