Unnamed: 0,lat,lon,Qair_f_inst
0,33.0,-116.875,0.0044110413
1,33.0,-116.25,0.0033366578
2,33.0,-115.625,0.0037839923
3,33.0,-115.0,0.0031508012
4,33.5,-117.5,0.0059175002
5,33.5,-116.875,0.0042914352
6,33.5,-116.25,0.0035791977
7,33.5,-115.625,0.0035349864
8,33.5,-115.0,0.0031573975
9,34.0,-118.125,0.0049205506
10,34.0,-117.5,0.0044549718
11,34.0,-116.875,0.003840493
12,34.0,-116.25,0.0034787904
13,34.0,-115.625,0.0034899625
14,34.0,-115.0,0.0031907854
15,34.5,-120.0,0.006531309
16,34.5,-119.375,0.005415719
17,34.5,-118.75,0.005046508
18,34.5,-118.125,0.004908688
19,34.5,-117.5,0.0045836554
20,34.5,-116.875,0.0042068237
21,34.5,-116.25,0.003946525
22,34.5,-115.625,0.0036304912
23,34.5,-115.0,0.0031324348
24,35.0,-120.625,0.007453997
25,35.0,-120.0,0.0062523424
26,35.0,-119.375,0.0057367138
27,35.0,-118.75,0.0052485387
28,35.0,-118.125,0.0048483894
29,35.0,-117.5,0.0047246628
30,35.0,-116.875,0.0045183515
31,35.0,-116.25,0.00414068
32,35.0,-115.625,0.0034286557
33,35.0,-115.0,0.0031024648
34,35.5,-120.625,0.0071444497
35,35.5,-120.0,0.006571021
36,35.5,-119.375,0.006096715
37,35.5,-118.75,0.005290333
38,35.5,-118.125,0.004310024
39,35.5,-117.5,0.0043754037
40,35.5,-116.875,0.0042188535
41,35.5,-116.25,0.003838852
42,35.5,-115.625,0.0032920518
43,36.0,-121.25,0.007831931
44,36.0,-120.625,0.007168479
45,36.0,-120.0,0.0068410374
46,36.0,-119.375,0.0063471235
47,36.0,-118.75,0.0049383985
48,36.0,-118.125,0.0036543033
49,36.0,-117.5,0.003815199
50,36.0,-116.875,0.0039149746
51,36.0,-116.25,0.0037675714
52,36.5,-121.875,0.008864506
53,36.5,-121.25,0.007900148
54,36.5,-120.625,0.0073410873
55,36.5,-120.0,0.0070297304
56,36.5,-119.375,0.0062673558
57,36.5,-118.75,0.004466943
58,36.5,-118.125,0.0039257174
59,36.5,-117.5,0.0037797
60,36.5,-116.875,0.00398706
61,37.0,-121.875,0.008775153
62,37.0,-121.25,0.008012195
63,37.0,-120.625,0.0074149645
64,37.0,-120.0,0.0065422687
65,37.0,-119.375,0.005339607
66,37.0,-118.75,0.004476479
67,37.0,-118.125,0.004174272
68,37.0,-117.5,0.0040822313
69,37.5,-121.875,0.008780905
70,37.5,-121.25,0.0080172345
71,37.5,-120.625,0.0071561486
72,37.5,-120.0,0.0058689755
73,37.5,-119.375,0.005079578
74,37.5,-118.75,0.004818916
75,37.5,-118.125,0.004560838
76,38.0,-122.5,0.009221042
77,38.0,-121.875,0.008836778
78,38.0,-121.25,0.007867551
79,38.0,-120.625,0.0069389064
80,38.0,-120.0,0.005988398
81,38.0,-119.375,0.005427265
82,38.0,-118.75,0.0051458203
83,38.5,-123.125,0.009324783
84,38.5,-122.5,0.0089221345
85,38.5,-121.875,0.008642057
86,38.5,-121.25,0.007544223
87,38.5,-120.625,0.006918128
88,38.5,-120.0,0.0061484925
89,38.5,-119.375,0.005714472
90,39.0,-123.125,0.008973469
91,39.0,-122.5,0.008638936
92,39.0,-121.875,0.008282493
93,39.0,-121.25,0.0074329805
94,39.0,-120.625,0.0068104197
95,39.5,-123.75,0.009326958
96,39.5,-123.125,0.008390906
97,39.5,-122.5,0.008262781
98,39.5,-121.875,0.008050948
99,39.5,-121.25,0.007308858
100,39.5,-120.625,0.0066759023
101,40.0,-123.75,0.008972484
102,40.0,-123.125,0.00818808
103,40.0,-122.5,0.008070761
104,40.0,-121.875,0.007954515
105,40.0,-121.25,0.0069305976
106,40.0,-120.625,0.006512241
107,40.0,-120.0,0.0062610484
108,40.5,-124.375,0.009475256
109,40.5,-123.75,0.008727529
110,40.5,-123.125,0.008183809
111,40.5,-122.5,0.008186001
112,40.5,-121.875,0.0077047143
113,40.5,-121.25,0.006809173
114,40.5,-120.625,0.0065598
115,40.5,-120.0,0.006320381
116,41.0,-123.75,0.008651176
117,41.0,-123.125,0.0077519235
118,41.0,-122.5,0.007642867
119,41.0,-121.875,0.007296089
120,41.0,-121.25,0.006980645
121,41.0,-120.625,0.0065668984
122,41.0,-120.0,0.0062917476
123,41.5,-123.75,0.008342694
124,41.5,-123.125,0.007523453
125,41.5,-122.5,0.0071437503
126,41.5,-121.875,0.0068190056
127,41.5,-121.25,0.0067236293
128,41.5,-120.625,0.006519571
129,41.5,-120.0,0.006245153
130,42.0,-123.125,0.007325117
131,42.0,-122.5,0.0071036466
132,42.0,-121.875,0.0067367307
