Unnamed: 0,lat,lon,Qair_f_inst
0,33.0,-116.875,0.0037956464
1,33.0,-116.25,0.0037482744
2,33.0,-115.625,0.0039071664
3,33.0,-115.0,0.003799883
4,33.5,-117.5,0.0040472182
5,33.5,-116.875,0.0037250342
6,33.5,-116.25,0.0037440292
7,33.5,-115.625,0.00384034
8,33.5,-115.0,0.0038576277
9,34.0,-118.125,0.0044839317
10,34.0,-117.5,0.004124215
11,34.0,-116.875,0.0037076066
12,34.0,-116.25,0.003744116
13,34.0,-115.625,0.0038823236
14,34.0,-115.0,0.0039194827
15,34.5,-120.0,0.0046266797
16,34.5,-119.375,0.004173131
17,34.5,-118.75,0.0037455978
18,34.5,-118.125,0.003921163
19,34.5,-117.5,0.0038002701
20,34.5,-116.875,0.0037715985
21,34.5,-116.25,0.0039400724
22,34.5,-115.625,0.0039621335
23,34.5,-115.0,0.003975269
24,35.0,-120.625,0.0059039495
25,35.0,-120.0,0.005016538
26,35.0,-119.375,0.0049138074
27,35.0,-118.75,0.0036525077
28,35.0,-118.125,0.0035240313
29,35.0,-117.5,0.003591993
30,35.0,-116.875,0.0037516814
31,35.0,-116.25,0.0039789076
32,35.0,-115.625,0.0039013282
33,35.0,-115.0,0.003993546
34,35.5,-120.625,0.0058501046
35,35.5,-120.0,0.005915115
36,35.5,-119.375,0.0063921153
37,35.5,-118.75,0.004180985
38,35.5,-118.125,0.003299685
39,35.5,-117.5,0.0033844719
40,35.5,-116.875,0.0036384594
41,35.5,-116.25,0.0039125434
42,35.5,-115.625,0.0038785322
43,36.0,-121.25,0.006080097
44,36.0,-120.625,0.005677154
45,36.0,-120.0,0.006031661
46,36.0,-119.375,0.005613305
47,36.0,-118.75,0.0036832197
48,36.0,-118.125,0.0032439863
49,36.0,-117.5,0.003229171
50,36.0,-116.875,0.0034550792
51,36.0,-116.25,0.0038138034
52,36.5,-121.875,0.00736462
53,36.5,-121.25,0.0062216497
54,36.5,-120.625,0.0061933114
55,36.5,-120.0,0.00630365
56,36.5,-119.375,0.0047935513
57,36.5,-118.75,0.003133803
58,36.5,-118.125,0.0027535066
59,36.5,-117.5,0.003196914
60,36.5,-116.875,0.0033293676
61,37.0,-121.875,0.0073703337
62,37.0,-121.25,0.0068600723
63,37.0,-120.625,0.006639585
64,37.0,-120.0,0.005710512
65,37.0,-119.375,0.004249948
66,37.0,-118.75,0.002524697
67,37.0,-118.125,0.0025395816
68,37.0,-117.5,0.0030902864
69,37.5,-121.875,0.0073674736
70,37.5,-121.25,0.0069954656
71,37.5,-120.625,0.006365095
72,37.5,-120.0,0.004517243
73,37.5,-119.375,0.0033114513
74,37.5,-118.75,0.002577929
75,37.5,-118.125,0.0028266676
76,38.0,-122.5,0.007609255
77,38.0,-121.875,0.007248337
78,38.0,-121.25,0.0069226692
79,38.0,-120.625,0.005769069
80,38.0,-120.0,0.0037959183
81,38.0,-119.375,0.0029265506
82,38.0,-118.75,0.0027277374
83,38.5,-123.125,0.007930468
84,38.5,-122.5,0.007511076
85,38.5,-121.875,0.007098502
86,38.5,-121.25,0.0062651555
87,38.5,-120.625,0.00495871
88,38.5,-120.0,0.0036688931
89,38.5,-119.375,0.0030351428
90,39.0,-123.125,0.007839603
91,39.0,-122.5,0.007358531
92,39.0,-121.875,0.0067671095
93,39.0,-121.25,0.0060636685
94,39.0,-120.625,0.004646394
95,39.5,-123.75,0.007927973
96,39.5,-123.125,0.007412016
97,39.5,-122.5,0.007091358
98,39.5,-121.875,0.005905395
99,39.5,-121.25,0.005279461
100,39.5,-120.625,0.0042640935
101,40.0,-123.75,0.007893716
102,40.0,-123.125,0.007296028
103,40.0,-122.5,0.0070371125
104,40.0,-121.875,0.0056870184
105,40.0,-121.25,0.0047079786
106,40.0,-120.625,0.004147896
107,40.0,-120.0,0.0038756495
108,40.5,-124.375,0.008051078
109,40.5,-123.75,0.007990333
110,40.5,-123.125,0.0073664035
111,40.5,-122.5,0.0067935106
112,40.5,-121.875,0.0058557657
113,40.5,-121.25,0.0050275144
114,40.5,-120.625,0.0044184267
115,40.5,-120.0,0.004333486
116,41.0,-123.75,0.007895744
117,41.0,-123.125,0.0068264455
118,41.0,-122.5,0.0061034667
119,41.0,-121.875,0.005206526
120,41.0,-121.25,0.0051001236
121,41.0,-120.625,0.004893236
122,41.0,-120.0,0.0045819907
123,41.5,-123.75,0.007884146
124,41.5,-123.125,0.0070848786
125,41.5,-122.5,0.006080342
126,41.5,-121.875,0.005376594
127,41.5,-121.25,0.0049292874
128,41.5,-120.625,0.0049386886
129,41.5,-120.0,0.0048732385
130,42.0,-123.125,0.007141946
131,42.0,-122.5,0.0061056
132,42.0,-121.875,0.0057840925
