Unnamed: 0,lat,lon,Qair_f_inst
0,33.0,-116.875,0.0068875686
1,33.0,-116.25,0.0057378504
2,33.0,-115.625,0.00496722
3,33.0,-115.0,0.004173826
4,33.5,-117.5,0.007930717
5,33.5,-116.875,0.0063040387
6,33.5,-116.25,0.005045211
7,33.5,-115.625,0.004567389
8,33.5,-115.0,0.0041163503
9,34.0,-118.125,0.0075160493
10,34.0,-117.5,0.0070622
11,34.0,-116.875,0.005939305
12,34.0,-116.25,0.0045254244
13,34.0,-115.625,0.0037578552
14,34.0,-115.0,0.0032215097
15,34.5,-120.0,0.005906735
16,34.5,-119.375,0.004833488
17,34.5,-118.75,0.00521118
18,34.5,-118.125,0.0059872176
19,34.5,-117.5,0.005822263
20,34.5,-116.875,0.00543985
21,34.5,-116.25,0.0046235747
22,34.5,-115.625,0.0037601823
23,34.5,-115.0,0.0028784052
24,35.0,-120.625,0.006002428
25,35.0,-120.0,0.0052164644
26,35.0,-119.375,0.004799494
27,35.0,-118.75,0.00473946
28,35.0,-118.125,0.004723868
29,35.0,-117.5,0.004989266
30,35.0,-116.875,0.00513153
31,35.0,-116.25,0.0049598557
32,35.0,-115.625,0.0040911906
33,35.0,-115.0,0.0030224386
34,35.5,-120.625,0.0055782623
35,35.5,-120.0,0.0053136856
36,35.5,-119.375,0.005551403
37,35.5,-118.75,0.0051865885
38,35.5,-118.125,0.0043036756
39,35.5,-117.5,0.004213961
40,35.5,-116.875,0.004347856
41,35.5,-116.25,0.004496058
42,35.5,-115.625,0.004209819
43,36.0,-121.25,0.0054072104
44,36.0,-120.625,0.005210776
45,36.0,-120.0,0.0053636464
46,36.0,-119.375,0.005599843
47,36.0,-118.75,0.0046333345
48,36.0,-118.125,0.0034582494
49,36.0,-117.5,0.0034474398
50,36.0,-116.875,0.003817846
51,36.0,-116.25,0.0039941617
52,36.5,-121.875,0.0057814294
53,36.5,-121.25,0.005322846
54,36.5,-120.625,0.005134271
55,36.5,-120.0,0.005555253
56,36.5,-119.375,0.0053339624
57,36.5,-118.75,0.003661922
58,36.5,-118.125,0.0029014486
59,36.5,-117.5,0.0028349522
60,36.5,-116.875,0.0032569757
61,37.0,-121.875,0.0055234465
62,37.0,-121.25,0.0053388164
63,37.0,-120.625,0.0054716035
64,37.0,-120.0,0.0056783496
65,37.0,-119.375,0.0045434264
66,37.0,-118.75,0.0029978792
67,37.0,-118.125,0.0028369913
68,37.0,-117.5,0.0025148697
69,37.5,-121.875,0.005382655
70,37.5,-121.25,0.0053317496
71,37.5,-120.625,0.0055601033
72,37.5,-120.0,0.005216693
73,37.5,-119.375,0.0035461008
74,37.5,-118.75,0.0028661273
75,37.5,-118.125,0.0027230112
76,38.0,-122.5,0.0052105947
77,38.0,-121.875,0.005147521
78,38.0,-121.25,0.005365941
79,38.0,-120.625,0.0053523835
80,38.0,-120.0,0.0042706947
81,38.0,-119.375,0.0032591925
82,38.0,-118.75,0.003126004
83,38.5,-123.125,0.0051359423
84,38.5,-122.5,0.004632614
85,38.5,-121.875,0.004678165
86,38.5,-121.25,0.00514255
87,38.5,-120.625,0.004836151
88,38.5,-120.0,0.003721066
89,38.5,-119.375,0.0031709431
90,39.0,-123.125,0.0045268224
91,39.0,-122.5,0.0041195326
92,39.0,-121.875,0.0045532435
93,39.0,-121.25,0.005006123
94,39.0,-120.625,0.0043373476
95,39.5,-123.75,0.005050082
96,39.5,-123.125,0.0039338684
97,39.5,-122.5,0.003974224
98,39.5,-121.875,0.004608877
99,39.5,-121.25,0.0045632464
100,39.5,-120.625,0.003857212
101,40.0,-123.75,0.00465911
102,40.0,-123.125,0.0037280044
103,40.0,-122.5,0.003896373
104,40.0,-121.875,0.00415964
105,40.0,-121.25,0.0036772145
106,40.0,-120.625,0.003547077
107,40.0,-120.0,0.0035512922
108,40.5,-124.375,0.005129122
109,40.5,-123.75,0.004429568
110,40.5,-123.125,0.0037121682
111,40.5,-122.5,0.003855449
112,40.5,-121.875,0.003739895
113,40.5,-121.25,0.0032348381
114,40.5,-120.625,0.0032342272
115,40.5,-120.0,0.003212048
116,41.0,-123.75,0.004369331
117,41.0,-123.125,0.0035274085
118,41.0,-122.5,0.0033428583
119,41.0,-121.875,0.0034108115
120,41.0,-121.25,0.003311043
121,41.0,-120.625,0.0031439
122,41.0,-120.0,0.0030541616
123,41.5,-123.75,0.004218943
124,41.5,-123.125,0.003611536
125,41.5,-122.5,0.003374743
126,41.5,-121.875,0.0031964832
127,41.5,-121.25,0.0031667212
128,41.5,-120.625,0.0031094018
129,41.5,-120.0,0.0030921402
130,42.0,-123.125,0.0038499308
131,42.0,-122.5,0.003546482
132,42.0,-121.875,0.0032308341
